t,Sv0,Sv1,Sh0,Sr0,Sr1,Sr2,Sr3,Sr4,Sr5,Sr6,Iv0,Iv1,Ih0,Ir0,Ir1,Ir2,Ir3,Ir4,Ir5,Ir6,Rv0,Rv1,Rh0,Rr0,Rr1,Rr2,Rr3,Rr4,Rr5,Rr6,cumIv0,cumIv1,cumIh0,cumIr0,cumIr1,cumIr2,cumIr3,cumIr4,cumIr5,cumIr6,cumIv,pIv,pIh,pIr
98,0.0888835,0.0888835,0.0884924,0.0884371,0.0884371,0.0884371,0.0884371,0.0884371,0.0884371,0.0884371,0.00131712,0.00131712,0.00141901,0.00143338,0.00143338,0.00143338,0.00143338,0.00143338,0.00143338,0.00143338,0.00979935,0.00979935,0.0100885,0.0101295,0.0101295,0.0101295,0.0101295,0.0101295,0.0101295,0.0101295,0.0117973,0.0117973,0.0121978,0.0122545,0.0122545,0.0122545,0.0122545,0.0122545,0.0122545,0.0122545,0.0235946,0.0131712,0.0141901,0.0143338
99,0.0887953,0.0887953,0.0883953,0.0883387,0.0883387,0.0883387,0.0883387,0.0883387,0.0883387,0.0883387,0.00128079,0.00128079,0.00138061,0.00139469,0.00139469,0.00139469,0.00139469,0.00139469,0.00139469,0.00139469,0.0099239,0.0099239,0.0102241,0.0102666,0.0102666,0.0102666,0.0102666,0.0102666,0.0102666,0.0102666,0.0119125,0.0119125,0.0123227,0.0123808,0.0123808,0.0123808,0.0123808,0.0123808,0.0123808,0.0123808,0.0238251,0.0128079,0.0138061,0.0139469
100,0.0887107,0.0887107,0.0883021,0.0882443,0.0882443,0.0882443,0.0882443,0.0882443,0.0882443,0.0882443,0.00124541,0.00124541,0.00134312,0.0013569,0.0013569,0.0013569,0.0013569,0.0013569,0.0013569,0.0013569,0.0100439,0.0100439,0.0103548,0.0103988,0.0103988,0.0103988,0.0103988,0.0103988,0.0103988,0.0103988,0.0120245,0.0120245,0.0124441,0.0125035,0.0125035,0.0125035,0.0125035,0.0125035,0.0125035,0.0125035,0.0240491,0.0124541,0.0134312,0.013569
101,0.0886295,0.0886295,0.0882127,0.0881537,0.0881537,0.0881537,0.0881537,0.0881537,0.0881537,0.0881537,0.00121095,0.00121095,0.00130652,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.0101596,0.0101596,0.0104808,0.0105263,0.0105263,0.0105263,0.0105263,0.0105263,0.0105263,0.0105263,0.0121334,0.0121334,0.0125621,0.0126228,0.0126228,0.0126228,0.0126228,0.0126228,0.0126228,0.0126228,0.0242668,0.0121095,0.0130652,0.0132
102,0.0885517,0.0885517,0.0881269,0.0880668,0.0880668,0.0880668,0.0880668,0.0880668,0.0880668,0.0880668,0.00117738,0.00117738,0.00127081,0.00128397,0.00128397,0.00128397,0.00128397,0.00128397,0.00128397,0.00128397,0.0102709,0.0102709,0.0106023,0.0106492,0.0106492,0.0106492,0.0106492,0.0106492,0.0106492,0.0106492,0.0122392,0.0122392,0.0126768,0.0127387,0.0127387,0.0127387,0.0127387,0.0127387,0.0127387,0.0127387,0.0244783,0.0117738,0.0127081,0.0128397
103,0.0884772,0.0884772,0.0880447,0.0879835,0.0879835,0.0879835,0.0879835,0.0879835,0.0879835,0.0879835,0.0011447,0.0011447,0.00123596,0.00124882,0.00124882,0.00124882,0.00124882,0.00124882,0.00124882,0.00124882,0.0103781,0.0103781,0.0107193,0.0107677,0.0107677,0.0107677,0.0107677,0.0107677,0.0107677,0.0107677,0.012342,0.012342,0.0127882,0.0128513,0.0128513,0.0128513,0.0128513,0.0128513,0.0128513,0.0128513,0.0246839,0.011447,0.0123596,0.0124882
104,0.0884059,0.0884059,0.087966,0.0879038,0.0879038,0.0879038,0.0879038,0.0879038,0.0879038,0.0879038,0.00111287,0.00111287,0.00120196,0.00121452,0.00121452,0.00121452,0.00121452,0.00121452,0.00121452,0.00121452,0.0104812,0.0104812,0.0108321,0.0108817,0.0108817,0.0108817,0.0108817,0.0108817,0.0108817,0.0108817,0.0124418,0.0124418,0.0128964,0.0129607,0.0129607,0.0129607,0.0129607,0.0129607,0.0129607,0.0129607,0.0248837,0.0111287,0.0120196,0.0121452
105,0.0883377,0.0883377,0.0878906,0.0878274,0.0878274,0.0878274,0.0878274,0.0878274,0.0878274,0.0878274,0.00108187,0.00108187,0.00116881,0.00118106,0.00118106,0.00118106,0.00118106,0.00118106,0.00118106,0.00118106,0.0105804,0.0105804,0.0109405,0.0109915,0.0109915,0.0109915,0.0109915,0.0109915,0.0109915,0.0109915,0.0125389,0.0125389,0.0130016,0.013067,0.013067,0.013067,0.013067,0.013067,0.013067,0.013067,0.0250778,0.0108187,0.0116881,0.0118106
106,0.0882725,0.0882725,0.0878186,0.0877544,0.0877544,0.0877544,0.0877544,0.0877544,0.0877544,0.0877544,0.00105169,0.00105169,0.00113649,0.00114843,0.00114843,0.00114843,0.00114843,0.00114843,0.00114843,0.00114843,0.0106758,0.0106758,0.0110449,0.0110972,0.0110972,0.0110972,0.0110972,0.0110972,0.0110972,0.0110972,0.0126332,0.0126332,0.0131038,0.0131703,0.0131703,0.0131703,0.0131703,0.0131703,0.0131703,0.0131703,0.0252664,0.0105169,0.0113649,0.0114843
107,0.0882103,0.0882103,0.0877497,0.0876846,0.0876846,0.0876846,0.0876846,0.0876846,0.0876846,0.0876846,0.00102231,0.00102231,0.00110498,0.00111662,0.00111662,0.00111662,0.00111662,0.00111662,0.00111662,0.00111662,0.0107674,0.0107674,0.0111453,0.0111988,0.0111988,0.0111988,0.0111988,0.0111988,0.0111988,0.0111988,0.0127248,0.0127248,0.013203,0.0132706,0.0132706,0.0132706,0.0132706,0.0132706,0.0132706,0.0132706,0.0254496,0.0102231,0.0110498,0.0111662
108,0.0881509,0.0881509,0.087684,0.0876179,0.0876179,0.0876179,0.0876179,0.0876179,0.0876179,0.0876179,0.000993698,0.000993698,0.00107427,0.00108561,0.00108561,0.00108561,0.00108561,0.00108561,0.00108561,0.00108561,0.0108554,0.0108554,0.0112418,0.0112964,0.0112964,0.0112964,0.0112964,0.0112964,0.0112964,0.0112964,0.0128138,0.0128138,0.0132994,0.0133681,0.0133681,0.0133681,0.0133681,0.0133681,0.0133681,0.0133681,0.0256276,0.00993698,0.0107427,0.0108561
109,0.0880943,0.0880943,0.0876212,0.0875543,0.0875543,0.0875543,0.0875543,0.0875543,0.0875543,0.0875543,0.000965849,0.000965849,0.00104434,0.00105539,0.00105539,0.00105539,0.00105539,0.00105539,0.00105539,0.00105539,0.0109399,0.0109399,0.0113345,0.0113903,0.0113903,0.0113903,0.0113903,0.0113903,0.0113903,0.0113903,0.0129003,0.0129003,0.0133931,0.0134628,0.0134628,0.0134628,0.0134628,0.0134628,0.0134628,0.0134628,0.0258006,0.00965849,0.0104434,0.0105539
110,0.0880404,0.0880404,0.0875614,0.0874937,0.0874937,0.0874937,0.0874937,0.0874937,0.0874937,0.0874937,0.00093874,0.00093874,0.00101518,0.00102594,0.00102594,0.00102594,0.00102594,0.00102594,0.00102594,0.00102594,0.0110209,0.0110209,0.0114234,0.0114804,0.0114804,0.0114804,0.0114804,0.0114804,0.0114804,0.0114804,0.0129843,0.0129843,0.0134841,0.0135548,0.0135548,0.0135548,0.0135548,0.0135548,0.0135548,0.0135548,0.0259686,0.0093874,0.0101518,0.0102594
111,0.087989,0.087989,0.0875044,0.0874359,0.0874359,0.0874359,0.0874359,0.0874359,0.0874359,0.0874359,0.000912354,0.000912354,0.000986782,0.000997252,0.000997252,0.000997252,0.000997252,0.000997252,0.000997252,0.000997252,0.0110986,0.0110986,0.0115088,0.0115668,0.0115668,0.0115668,0.0115668,0.0115668,0.0115668,0.0115668,0.0130659,0.0130659,0.0135725,0.0136441,0.0136441,0.0136441,0.0136441,0.0136441,0.0136441,0.0136441,0.0261318,0.00912354,0.00986782,0.00997252
112,0.0879403,0.0879403,0.0874502,0.0873809,0.0873809,0.0873809,0.0873809,0.0873809,0.0873809,0.0873809,0.000886675,0.000886675,0.000959119,0.000969309,0.000969309,0.000969309,0.000969309,0.000969309,0.000969309,0.000969309,0.0111731,0.0111731,0.0115907,0.0116498,0.0116498,0.0116498,0.0116498,0.0116498,0.0116498,0.0116498,0.0131452,0.0131452,0.0136584,0.0137309,0.0137309,0.0137309,0.0137309,0.0137309,0.0137309,0.0137309,0.0262904,0.00886675,0.00959119,0.00969309
113,0.087894,0.087894,0.0873986,0.0873286,0.0873286,0.0873286,0.0873286,0.0873286,0.0873286,0.0873286,0.000861684,0.000861684,0.000932182,0.000942096,0.000942096,0.000942096,0.000942096,0.000942096,0.000942096,0.000942096,0.0112443,0.0112443,0.0116692,0.0117293,0.0117293,0.0117293,0.0117293,0.0117293,0.0117293,0.0117293,0.0132222,0.0132222,0.0137418,0.0138152,0.0138152,0.0138152,0.0138152,0.0138152,0.0138152,0.0138152,0.0264444,0.00861684,0.00932182,0.00942096
114,0.0878503,0.0878503,0.0873494,0.0872784,0.0872784,0.0872784,0.0872784,0.0872784,0.0872784,0.0872784,0.000837163,0.000837163,0.000906263,0.00091613,0.00091613,0.00091613,0.00091613,0.00091613,0.00091613,0.00091613,0.0113126,0.0113126,0.0117444,0.0118054,0.0118054,0.0118054,0.0118054,0.0118054,0.0118054,0.0118054,0.0132968,0.0132968,0.0138231,0.0138977,0.0138977,0.0138977,0.0138977,0.0138977,0.0138977,0.0138977,0.0265936,0.00837163,0.00906263,0.0091613
115,0.0878093,0.0878093,0.087302,0.0872297,0.0872297,0.0872297,0.0872297,0.0872297,0.0872297,0.0872297,0.000812974,0.000812974,0.000881631,0.000891852,0.000891852,0.000891852,0.000891852,0.000891852,0.000891852,0.000891852,0.0113778,0.0113778,0.0118164,0.0118784,0.0118784,0.0118784,0.0118784,0.0118784,0.0118784,0.0118784,0.0133689,0.0133689,0.0139028,0.0139789,0.0139789,0.0139789,0.0139789,0.0139789,0.0139789,0.0139789,0.0267378,0.00812974,0.00881631,0.00891852
116,0.0877708,0.0877708,0.0872563,0.0871823,0.0871823,0.0871823,0.0871823,0.0871823,0.0871823,0.0871823,0.00078921,0.00078921,0.000858232,0.000869144,0.000869144,0.000869144,0.000869144,0.000869144,0.000869144,0.000869144,0.01144,0.01144,0.0118854,0.0119485,0.0119485,0.0119485,0.0119485,0.0119485,0.0119485,0.0119485,0.0134386,0.0134386,0.0139809,0.0140589,0.0140589,0.0140589,0.0140589,0.0140589,0.0140589,0.0140589,0.0268772,0.0078921,0.00858232,0.00869144
117,0.0877348,0.0877348,0.0872124,0.0871362,0.0871362,0.0871362,0.0871362,0.0871362,0.0871362,0.0871362,0.000765946,0.000765946,0.000836015,0.000847898,0.000847898,0.000847898,0.000847898,0.000847898,0.000847898,0.000847898,0.0114993,0.0114993,0.0119516,0.0120159,0.0120159,0.0120159,0.0120159,0.0120159,0.0120159,0.0120159,0.0135061,0.0135061,0.0140575,0.0141378,0.0141378,0.0141378,0.0141378,0.0141378,0.0141378,0.0141378,0.0270121,0.00765946,0.00836015,0.00847898
118,0.087701,0.087701,0.08717,0.0870913,0.0870913,0.0870913,0.0870913,0.0870913,0.0870913,0.0870913,0.000743242,0.000743242,0.000814934,0.000828018,0.000828018,0.000828018,0.000828018,0.000828018,0.000828018,0.000828018,0.0115557,0.0115557,0.0120151,0.0120806,0.0120806,0.0120806,0.0120806,0.0120806,0.0120806,0.0120806,0.0135714,0.0135714,0.0141328,0.0142157,0.0142157,0.0142157,0.0142157,0.0142157,0.0142157,0.0142157,0.0271428,0.00743242,0.00814934,0.00828018
119,0.0876694,0.0876694,0.0871291,0.0870476,0.0870476,0.0870476,0.0870476,0.0870476,0.0870476,0.0870476,0.000721145,0.000721145,0.000794942,0.000809417,0.000809417,0.000809417,0.000809417,0.000809417,0.000809417,0.000809417,0.0116094,0.0116094,0.012076,0.012143,0.012143,0.012143,0.012143,0.012143,0.012143,0.012143,0.0136347,0.0136347,0.0142067,0.0142926,0.0142926,0.0142926,0.0142926,0.0142926,0.0142926,0.0142926,0.0272695,0.00721145,0.00794942,0.00809417
120,0.0876398,0.0876398,0.0870895,0.0870049,0.0870049,0.0870049,0.0870049,0.0870049,0.0870049,0.0870049,0.000699692,0.000699692,0.000775998,0.000792017,0.000792017,0.000792017,0.000792017,0.000792017,0.000792017,0.000792017,0.0116605,0.0116605,0.0121345,0.0122031,0.0122031,0.0122031,0.0122031,0.0122031,0.0122031,0.0122031,0.0136962,0.0136962,0.0142794,0.0143686,0.0143686,0.0143686,0.0143686,0.0143686,0.0143686,0.0143686,0.0273924,0.00699692,0.00775998,0.00792017
121,0.0876122,0.0876122,0.0870513,0.0869632,0.0869632,0.0869632,0.0869632,0.0869632,0.0869632,0.0869632,0.000678907,0.000678907,0.000758061,0.000775748,0.000775748,0.000775748,0.000775748,0.000775748,0.000775748,0.000775748,0.0117089,0.0117089,0.0121907,0.012261,0.012261,0.012261,0.012261,0.012261,0.012261,0.012261,0.0137558,0.0137558,0.0143509,0.0144438,0.0144438,0.0144438,0.0144438,0.0144438,0.0144438,0.0144438,0.0275117,0.00678907,0.00758061,0.00775748
122,0.0875864,0.0875864,0.0870143,0.0869225,0.0869225,0.0869225,0.0869225,0.0869225,0.0869225,0.0869225,0.000658811,0.000658811,0.000741091,0.000760545,0.000760545,0.000760545,0.000760545,0.000760545,0.000760545,0.000760545,0.0117548,0.0117548,0.0122446,0.012317,0.012317,0.012317,0.012317,0.012317,0.012317,0.012317,0.0138138,0.0138138,0.0144214,0.0145183,0.0145183,0.0145183,0.0145183,0.0145183,0.0145183,0.0145183,0.0276275,0.00658811,0.00741091,0.00760545
123,0.0875623,0.0875623,0.0869784,0.0868826,0.0868826,0.0868826,0.0868826,0.0868826,0.0868826,0.0868826,0.000639413,0.000639413,0.000725052,0.000746352,0.000746352,0.000746352,0.000746352,0.000746352,0.000746352,0.000746352,0.0117983,0.0117983,0.0122966,0.0123711,0.0123711,0.0123711,0.0123711,0.0123711,0.0123711,0.0123711,0.0138701,0.0138701,0.0144909,0.014592,0.014592,0.014592,0.014592,0.014592,0.014592,0.014592,0.0277402,0.00639413,0.00725052,0.00746352
124,0.0875399,0.0875399,0.0869436,0.0868435,0.0868435,0.0868435,0.0868435,0.0868435,0.0868435,0.0868435,0.000620722,0.000620722,0.000709911,0.000733115,0.000733115,0.000733115,0.000733115,0.000733115,0.000733115,0.000733115,0.0118394,0.0118394,0.0123465,0.0124234,0.0124234,0.0124234,0.0124234,0.0124234,0.0124234,0.0124234,0.0139249,0.0139249,0.0145595,0.014665,0.014665,0.014665,0.014665,0.014665,0.014665,0.014665,0.0278499,0.00620722,0.00709911,0.00733115
125,0.087519,0.087519,0.0869097,0.0868051,0.0868051,0.0868051,0.0868051,0.0868051,0.0868051,0.0868051,0.000602736,0.000602736,0.000695634,0.000720788,0.000720788,0.000720788,0.000720788,0.000720788,0.000720788,0.000720788,0.0118783,0.0118783,0.0123946,0.0124741,0.0124741,0.0124741,0.0124741,0.0124741,0.0124741,0.0124741,0.0139783,0.0139783,0.0146272,0.0147375,0.0147375,0.0147375,0.0147375,0.0147375,0.0147375,0.0147375,0.0279567,0.00602736,0.00695634,0.00720788
126,0.0874995,0.0874995,0.0868768,0.0867674,0.0867674,0.0867674,0.0867674,0.0867674,0.0867674,0.0867674,0.000585454,0.000585454,0.000682191,0.000709327,0.000709327,0.000709327,0.000709327,0.000709327,0.000709327,0.000709327,0.011915,0.011915,0.012441,0.0125233,0.0125233,0.0125233,0.0125233,0.0125233,0.0125233,0.0125233,0.0140304,0.0140304,0.0146942,0.0148095,0.0148095,0.0148095,0.0148095,0.0148095,0.0148095,0.0148095,0.0280607,0.00585454,0.00682191,0.00709327
127,0.0874815,0.0874815,0.0868447,0.0867302,0.0867302,0.0867302,0.0867302,0.0867302,0.0867302,0.0867302,0.000568869,0.000568869,0.000669554,0.000698695,0.000698695,0.000698695,0.000698695,0.000698695,0.000698695,0.000698695,0.0119496,0.0119496,0.0124857,0.0125711,0.0125711,0.0125711,0.0125711,0.0125711,0.0125711,0.0125711,0.0140811,0.0140811,0.0147604,0.014881,0.014881,0.014881,0.014881,0.014881,0.014881,0.014881,0.0281623,0.00568869,0.00669554,0.00698695
128,0.0874647,0.0874647,0.0868134,0.0866936,0.0866936,0.0866936,0.0866936,0.0866936,0.0866936,0.0866936,0.000552973,0.000552973,0.000657694,0.000688857,0.000688857,0.000688857,0.000688857,0.000688857,0.000688857,0.000688857,0.0119823,0.0119823,0.0125289,0.0126175,0.0126175,0.0126175,0.0126175,0.0126175,0.0126175,0.0126175,0.0141307,0.0141307,0.014826,0.0149521,0.0149521,0.0149521,0.0149521,0.0149521,0.0149521,0.0149521,0.0282614,0.00552973,0.00657694,0.00688857
129,0.0874492,0.0874492,0.0867828,0.0866575,0.0866575,0.0866575,0.0866575,0.0866575,0.0866575,0.0866575,0.000537753,0.000537753,0.000646586,0.00067978,0.00067978,0.00067978,0.00067978,0.00067978,0.00067978,0.00067978,0.0120131,0.0120131,0.0125706,0.0126627,0.0126627,0.0126627,0.0126627,0.0126627,0.0126627,0.0126627,0.0141791,0.0141791,0.0148909,0.0150229,0.0150229,0.0150229,0.0150229,0.0150229,0.0150229,0.0150229,0.0283582,0.00537753,0.00646586,0.0067978
130,0.0874348,0.0874348,0.0867529,0.0866218,0.0866218,0.0866218,0.0866218,0.0866218,0.0866218,0.0866218,0.000523199,0.000523199,0.000636207,0.000671438,0.000671438,0.000671438,0.000671438,0.000671438,0.000671438,0.000671438,0.012042,0.012042,0.0126109,0.0127068,0.0127068,0.0127068,0.0127068,0.0127068,0.0127068,0.0127068,0.0142264,0.0142264,0.0149554,0.0150934,0.0150934,0.0150934,0.0150934,0.0150934,0.0150934,0.0150934,0.0284529,0.00523199,0.00636207,0.00671438
131,0.0874215,0.0874215,0.0867235,0.0865864,0.0865864,0.0865864,0.0865864,0.0865864,0.0865864,0.0865864,0.000509294,0.000509294,0.000626535,0.000663804,0.000663804,0.000663804,0.000663804,0.000663804,0.000663804,0.000663804,0.0120692,0.0120692,0.01265,0.0127498,0.0127498,0.0127498,0.0127498,0.0127498,0.0127498,0.0127498,0.0142728,0.0142728,0.0150194,0.0151637,0.0151637,0.0151637,0.0151637,0.0151637,0.0151637,0.0151637,0.0285455,0.00509294,0.00626535,0.00663804
132,0.0874092,0.0874092,0.0866946,0.0865512,0.0865512,0.0865512,0.0865512,0.0865512,0.0865512,0.0865512,0.000496025,0.000496025,0.000617549,0.000656856,0.000656856,0.000656856,0.000656856,0.000656856,0.000656856,0.000656856,0.0120948,0.0120948,0.0126879,0.0127919,0.0127919,0.0127919,0.0127919,0.0127919,0.0127919,0.0127919,0.0143181,0.0143181,0.015083,0.0152338,0.0152338,0.0152338,0.0152338,0.0152338,0.0152338,0.0152338,0.0286363,0.00496025,0.00617549,0.00656856
133,0.0873979,0.0873979,0.0866662,0.0865164,0.0865164,0.0865164,0.0865164,0.0865164,0.0865164,0.0865164,0.000483375,0.000483375,0.00060923,0.000650575,0.000650575,0.000650575,0.000650575,0.000650575,0.000650575,0.000650575,0.0121187,0.0121187,0.0127246,0.0128331,0.0128331,0.0128331,0.0128331,0.0128331,0.0128331,0.0128331,0.0143626,0.0143626,0.0151463,0.0153038,0.0153038,0.0153038,0.0153038,0.0153038,0.0153038,0.0153038,0.0287253,0.00483375,0.0060923,0.00650575
134,0.0873875,0.0873875,0.0866381,0.0864816,0.0864816,0.0864816,0.0864816,0.0864816,0.0864816,0.0864816,0.000471328,0.000471328,0.00060156,0.000644942,0.000644942,0.000644942,0.000644942,0.000644942,0.000644942,0.000644942,0.0121412,0.0121412,0.0127603,0.0128734,0.0128734,0.0128734,0.0128734,0.0128734,0.0128734,0.0128734,0.0144063,0.0144063,0.0152092,0.0153737,0.0153737,0.0153737,0.0153737,0.0153737,0.0153737,0.0153737,0.0288126,0.00471328,0.0060156,0.00644942
135,0.0873779,0.0873779,0.0866104,0.086447,0.086447,0.086447,0.086447,0.086447,0.086447,0.086447,0.000459867,0.000459867,0.000594523,0.000639941,0.000639941,0.000639941,0.000639941,0.000639941,0.000639941,0.000639941,0.0121622,0.0121622,0.0127951,0.0129131,0.0129131,0.0129131,0.0129131,0.0129131,0.0129131,0.0129131,0.0144491,0.0144491,0.015272,0.0154437,0.0154437,0.0154437,0.0154437,0.0154437,0.0154437,0.0154437,0.0288983,0.00459867,0.00594523,0.00639941
136,0.0873691,0.0873691,0.0865829,0.0864124,0.0864124,0.0864124,0.0864124,0.0864124,0.0864124,0.0864124,0.000448976,0.000448976,0.000588106,0.00063556,0.00063556,0.00063556,0.00063556,0.00063556,0.00063556,0.00063556,0.0121819,0.0121819,0.012829,0.0129521,0.0129521,0.0129521,0.0129521,0.0129521,0.0129521,0.0129521,0.0144913,0.0144913,0.0153345,0.0155137,0.0155137,0.0155137,0.0155137,0.0155137,0.0155137,0.0155137,0.0289826,0.00448976,0.00588106,0.0063556
137,0.0873611,0.0873611,0.0865556,0.0863778,0.0863778,0.0863778,0.0863778,0.0863778,0.0863778,0.0863778,0.000438637,0.000438637,0.000582293,0.000631787,0.000631787,0.000631787,0.000631787,0.000631787,0.000631787,0.000631787,0.0122003,0.0122003,0.0128621,0.0129905,0.0129905,0.0129905,0.0129905,0.0129905,0.0129905,0.0129905,0.0145327,0.0145327,0.015397,0.0155839,0.0155839,0.0155839,0.0155839,0.0155839,0.0155839,0.0155839,0.0290654,0.00438637,0.00582293,0.00631787
138,0.0873537,0.0873537,0.0865285,0.086343,0.086343,0.086343,0.086343,0.086343,0.086343,0.086343,0.000428836,0.000428836,0.000577075,0.000628613,0.000628613,0.000628613,0.000628613,0.000628613,0.000628613,0.000628613,0.0122175,0.0122175,0.0128945,0.0130283,0.0130283,0.0130283,0.0130283,0.0130283,0.0130283,0.0130283,0.0145735,0.0145735,0.0154594,0.0156542,0.0156542,0.0156542,0.0156542,0.0156542,0.0156542,0.0156542,0.0291471,0.00428836,0.00577075,0.00628613
139,0.087347,0.087347,0.0865014,0.0863082,0.0863082,0.0863082,0.0863082,0.0863082,0.0863082,0.0863082,0.000419554,0.000419554,0.000572439,0.00062603,0.00062603,0.00062603,0.00062603,0.00062603,0.00062603,0.00062603,0.0122335,0.0122335,0.0129261,0.0130658,0.0130658,0.0130658,0.0130658,0.0130658,0.0130658,0.0130658,0.0146137,0.0146137,0.0155219,0.0157248,0.0157248,0.0157248,0.0157248,0.0157248,0.0157248,0.0157248,0.0292275,0.00419554,0.00572439,0.0062603
140,0.0873409,0.0873409,0.0864744,0.0862731,0.0862731,0.0862731,0.0862731,0.0862731,0.0862731,0.0862731,0.000410777,0.000410777,0.000568378,0.000624031,0.000624031,0.000624031,0.000624031,0.000624031,0.000624031,0.000624031,0.0122484,0.0122484,0.0129572,0.0131029,0.0131029,0.0131029,0.0131029,0.0131029,0.0131029,0.0131029,0.0146534,0.0146534,0.0155844,0.0157958,0.0157958,0.0157958,0.0157958,0.0157958,0.0157958,0.0157958,0.0293068,0.00410777,0.00568378,0.00624031
141,0.0873353,0.0873353,0.0864473,0.0862377,0.0862377,0.0862377,0.0862377,0.0862377,0.0862377,0.0862377,0.000402488,0.000402488,0.000564883,0.000622614,0.000622614,0.000622614,0.000622614,0.000622614,0.000622614,0.000622614,0.0122622,0.0122622,0.0129878,0.0131397,0.0131397,0.0131397,0.0131397,0.0131397,0.0131397,0.0131397,0.0146926,0.0146926,0.015647,0.0158671,0.0158671,0.0158671,0.0158671,0.0158671,0.0158671,0.0158671,0.0293851,0.00402488,0.00564883,0.00622614
142,0.0873302,0.0873302,0.0864201,0.086202,0.086202,0.086202,0.086202,0.086202,0.086202,0.086202,0.000394674,0.000394674,0.000561948,0.000621774,0.000621774,0.000621774,0.000621774,0.000621774,0.000621774,0.000621774,0.0122751,0.0122751,0.0130179,0.0131762,0.0131762,0.0131762,0.0131762,0.0131762,0.0131762,0.0131762,0.0147313,0.0147313,0.0157098,0.0159388,0.0159388,0.0159388,0.0159388,0.0159388,0.0159388,0.0159388,0.0294625,0.00394674,0.00561948,0.00621774
143,0.0873256,0.0873256,0.0863928,0.0861659,0.0861659,0.0861659,0.0861659,0.0861659,0.0861659,0.0861659,0.00038732,0.00038732,0.000559569,0.000621512,0.000621512,0.000621512,0.000621512,0.000621512,0.000621512,0.000621512,0.0122871,0.0122871,0.0130477,0.0132126,0.0132126,0.0132126,0.0132126,0.0132126,0.0132126,0.0132126,0.0147695,0.0147695,0.0157728,0.0160111,0.0160111,0.0160111,0.0160111,0.0160111,0.0160111,0.0160111,0.029539,0.0038732,0.00559569,0.00621512
144,0.0873214,0.0873214,0.0863652,0.0861293,0.0861293,0.0861293,0.0861293,0.0861293,0.0861293,0.0861293,0.000380411,0.000380411,0.000557741,0.000621829,0.000621829,0.000621829,0.000621829,0.000621829,0.000621829,0.000621829,0.0122982,0.0122982,0.0130771,0.0132489,0.0132489,0.0132489,0.0132489,0.0132489,0.0132489,0.0132489,0.0148074,0.0148074,0.0158362,0.016084,0.016084,0.016084,0.016084,0.016084,0.016084,0.016084,0.0296148,0.00380411,0.00557741,0.00621829
145,0.0873176,0.0873176,0.0863373,0.0860921,0.0860921,0.0860921,0.0860921,0.0860921,0.0860921,0.0860921,0.000373935,0.000373935,0.000556461,0.000622725,0.000622725,0.000622725,0.000622725,0.000622725,0.000622725,0.000622725,0.0123085,0.0123085,0.0131062,0.0132851,0.0132851,0.0132851,0.0132851,0.0132851,0.0132851,0.0132851,0.0148449,0.0148449,0.0158999,0.0161575,0.0161575,0.0161575,0.0161575,0.0161575,0.0161575,0.0161575,0.0296899,0.00373935,0.00556461,0.00622725
146,0.0873141,0.0873141,0.0863091,0.0860543,0.0860543,0.0860543,0.0860543,0.0860543,0.0860543,0.0860543,0.00036788,0.00036788,0.000555731,0.000624207,0.000624207,0.000624207,0.000624207,0.000624207,0.000624207,0.000624207,0.012318,0.012318,0.0131351,0.0133215,0.0133215,0.0133215,0.0133215,0.0133215,0.0133215,0.0133215,0.0148822,0.0148822,0.0159641,0.0162317,0.0162317,0.0162317,0.0162317,0.0162317,0.0162317,0.0162317,0.0297643,0.0036788,0.00555731,0.00624207
147,0.0873109,0.0873109,0.0862805,0.0860159,0.0860159,0.0860159,0.0860159,0.0860159,0.0860159,0.0860159,0.000362232,0.000362232,0.000555548,0.000626278,0.000626278,0.000626278,0.000626278,0.000626278,0.000626278,0.000626278,0.0123269,0.0123269,0.0131639,0.0133579,0.0133579,0.0133579,0.0133579,0.0133579,0.0133579,0.0133579,0.0149191,0.0149191,0.0160287,0.0163067,0.0163067,0.0163067,0.0163067,0.0163067,0.0163067,0.0163067,0.0298382,0.00362232,0.00555548,0.00626278
148,0.087308,0.087308,0.0862514,0.0859766,0.0859766,0.0859766,0.0859766,0.0859766,0.0859766,0.0859766,0.000356982,0.000356982,0.000555916,0.000628947,0.000628947,0.000628947,0.000628947,0.000628947,0.000628947,0.000628947,0.0123351,0.0123351,0.0131927,0.0133944,0.0133944,0.0133944,0.0133944,0.0133944,0.0133944,0.0133944,0.0149558,0.0149558,0.0160939,0.0163826,0.0163826,0.0163826,0.0163826,0.0163826,0.0163826,0.0163826,0.0299116,0.00356982,0.00555916,0.00628947
149,0.0873053,0.0873053,0.0862217,0.0859365,0.0859365,0.0859365,0.0859365,0.0859365,0.0859365,0.0859365,0.000352119,0.000352119,0.000556838,0.000632222,0.000632222,0.000632222,0.000632222,0.000632222,0.000632222,0.000632222,0.0123426,0.0123426,0.0132214,0.0134313,0.0134313,0.0134313,0.0134313,0.0134313,0.0134313,0.0134313,0.0149923,0.0149923,0.0161598,0.0164595,0.0164595,0.0164595,0.0164595,0.0164595,0.0164595,0.0164595,0.0299846,0.00352119,0.00556838,0.00632222
