t,Sv0,Sv1,Sh0,Sr0,Sr1,Sr2,Sr3,Sr4,Sr5,Sr6,Iv0,Iv1,Ih0,Ir0,Ir1,Ir2,Ir3,Ir4,Ir5,Ir6,Rv0,Rv1,Rh0,Rr0,Rr1,Rr2,Rr3,Rr4,Rr5,Rr6,cumIv0,cumIv1,cumIh0,cumIr0,cumIr1,cumIr2,cumIr3,cumIr4,cumIr5,cumIr6,cumIv,pIv,pIh,pIr
10,0.0999595,0.0999595,0.0999595,0.0999595,0.0999595,0.0999595,0.0999595,0.0999595,0.0999595,0.0999595,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,6.13E-05,0.000226229,0.000226229,0.000226229
11,0.0999549,0.0999549,0.0999549,0.0999549,0.0999549,0.0999549,0.0999549,0.0999549,0.0999549,0.0999549,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.05E-05,2.05E-05,2.05E-05,2.05E-05,2.05E-05,2.05E-05,2.05E-05,2.05E-05,2.05E-05,2.05E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,7.07E-05,0.000245464,0.000245464,0.000245464
12,0.0999499,0.0999499,0.0999499,0.0999499,0.0999499,0.0999499,0.0999499,0.0999499,0.0999499,0.0999499,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,4.04E-05,4.04E-05,4.04E-05,4.04E-05,4.04E-05,4.04E-05,4.04E-05,4.04E-05,4.04E-05,4.04E-05,8.08E-05,0.000266331,0.000266331,0.000266331
13,0.0999445,0.0999445,0.0999445,0.0999445,0.0999445,0.0999445,0.0999445,0.0999445,0.0999445,0.0999445,2.89E-05,2.89E-05,2.89E-05,2.89E-05,2.89E-05,2.89E-05,2.89E-05,2.89E-05,2.89E-05,2.89E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,4.59E-05,4.59E-05,4.59E-05,4.59E-05,4.59E-05,4.59E-05,4.59E-05,4.59E-05,4.59E-05,4.59E-05,9.18E-05,0.000288969,0.000288969,0.000288969
14,0.0999386,0.0999386,0.0999386,0.0999386,0.0999386,0.0999386,0.0999386,0.0999386,0.0999386,0.0999386,3.14E-05,3.14E-05,3.14E-05,3.14E-05,3.14E-05,3.14E-05,3.14E-05,3.14E-05,3.14E-05,3.14E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,0.000103766,0.000313527,0.000313527,0.000313527
15,0.0999322,0.0999322,0.0999322,0.0999322,0.0999322,0.0999322,0.0999322,0.0999322,0.0999322,0.0999322,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,5.84E-05,5.84E-05,5.84E-05,5.84E-05,5.84E-05,5.84E-05,5.84E-05,5.84E-05,5.84E-05,5.84E-05,0.000116718,0.000340169,0.000340169,0.000340169
16,0.0999253,0.0999253,0.0999253,0.0999253,0.0999253,0.0999253,0.0999253,0.0999253,0.0999253,0.0999253,3.69E-05,3.69E-05,3.69E-05,3.69E-05,3.69E-05,3.69E-05,3.69E-05,3.69E-05,3.69E-05,3.69E-05,3.78E-05,3.78E-05,3.78E-05,3.78E-05,3.78E-05,3.78E-05,3.78E-05,3.78E-05,3.78E-05,3.78E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,6.54E-05,0.00013077,0.000369069,0.000369069,0.000369069
17,0.0999178,0.0999178,0.0999178,0.0999178,0.0999178,0.0999178,0.0999178,0.0999178,0.0999178,0.0999178,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,7.30E-05,7.30E-05,7.30E-05,7.30E-05,7.30E-05,7.30E-05,7.30E-05,7.30E-05,7.30E-05,7.30E-05,0.000146014,0.00040042,0.00040042,0.00040042
18,0.0999096,0.0999096,0.0999096,0.0999096,0.0999096,0.0999096,0.0999096,0.0999096,0.0999096,0.0999096,4.34E-05,4.34E-05,4.34E-05,4.34E-05,4.34E-05,4.34E-05,4.34E-05,4.34E-05,4.34E-05,4.34E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,0.000162552,0.000434426,0.000434426,0.000434426
19,0.0999008,0.0999008,0.0999008,0.0999008,0.0999008,0.0999008,0.0999008,0.0999008,0.0999008,0.0999008,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,5.21E-05,5.21E-05,5.21E-05,5.21E-05,5.21E-05,5.21E-05,5.21E-05,5.21E-05,5.21E-05,5.21E-05,9.02E-05,9.02E-05,9.02E-05,9.02E-05,9.02E-05,9.02E-05,9.02E-05,9.02E-05,9.02E-05,9.02E-05,0.000180493,0.000471313,0.000471313,0.000471313
20,0.0998912,0.0998912,0.0998912,0.0998912,0.0998912,0.0998912,0.0998912,0.0998912,0.0998912,0.0998912,5.11E-05,5.11E-05,5.11E-05,5.11E-05,5.11E-05,5.11E-05,5.11E-05,5.11E-05,5.11E-05,5.11E-05,5.77E-05,5.77E-05,5.77E-05,5.77E-05,5.77E-05,5.77E-05,5.77E-05,5.77E-05,5.77E-05,5.77E-05,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.000199955,0.000511322,0.000511322,0.000511322
21,0.0998808,0.0998808,0.0998808,0.0998808,0.0998808,0.0998808,0.0998808,0.0998808,0.0998808,0.0998808,5.55E-05,5.55E-05,5.55E-05,5.55E-05,5.55E-05,5.55E-05,5.55E-05,5.55E-05,5.55E-05,5.55E-05,6.37E-05,6.37E-05,6.37E-05,6.37E-05,6.37E-05,6.37E-05,6.37E-05,6.37E-05,6.37E-05,6.37E-05,0.000110533,0.000110533,0.000110533,0.000110533,0.000110533,0.000110533,0.000110533,0.000110533,0.000110533,0.000110533,0.000221067,0.000554717,0.000554717,0.000554717
22,0.0998695,0.0998695,0.0998695,0.0998695,0.0998695,0.0998695,0.0998695,0.0998695,0.0998695,0.0998695,6.02E-05,6.02E-05,6.02E-05,6.02E-05,6.02E-05,6.02E-05,6.02E-05,6.02E-05,6.02E-05,6.02E-05,7.03E-05,7.03E-05,7.03E-05,7.03E-05,7.03E-05,7.03E-05,7.03E-05,7.03E-05,7.03E-05,7.03E-05,0.000121984,0.000121984,0.000121984,0.000121984,0.000121984,0.000121984,0.000121984,0.000121984,0.000121984,0.000121984,0.000243968,0.000601781,0.000601781,0.000601781
23,0.0998573,0.0998573,0.0998573,0.0998573,0.0998573,0.0998573,0.0998573,0.0998573,0.0998573,0.0998573,6.53E-05,6.53E-05,6.53E-05,6.53E-05,6.53E-05,6.53E-05,6.53E-05,6.53E-05,6.53E-05,6.53E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,0.000134404,0.000134404,0.000134404,0.000134404,0.000134404,0.000134404,0.000134404,0.000134404,0.000134404,0.000134404,0.000268808,0.000652824,0.000652824,0.000652824
24,0.0998441,0.0998441,0.0998441,0.0998441,0.0998441,0.0998441,0.0998441,0.0998441,0.0998441,0.0998441,7.08E-05,7.08E-05,7.08E-05,7.08E-05,7.08E-05,7.08E-05,7.08E-05,7.08E-05,7.08E-05,7.08E-05,8.51E-05,8.51E-05,8.51E-05,8.51E-05,8.51E-05,8.51E-05,8.51E-05,8.51E-05,8.51E-05,8.51E-05,0.000147876,0.000147876,0.000147876,0.000147876,0.000147876,0.000147876,0.000147876,0.000147876,0.000147876,0.000147876,0.000295752,0.000708178,0.000708178,0.000708178
25,0.0998297,0.0998297,0.0998297,0.0998297,0.0998297,0.0998297,0.0998297,0.0998297,0.0998297,0.0998297,7.68E-05,7.68E-05,7.68E-05,7.68E-05,7.68E-05,7.68E-05,7.68E-05,7.68E-05,7.68E-05,7.68E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,0.000162488,0.000162488,0.000162488,0.000162488,0.000162488,0.000162488,0.000162488,0.000162488,0.000162488,0.000162488,0.000324976,0.000768204,0.000768204,0.000768204
26,0.0998141,0.0998141,0.0998141,0.0998141,0.0998141,0.0998141,0.0998141,0.0998141,0.0998141,0.0998141,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,0.000102546,0.000102546,0.000102546,0.000102546,0.000102546,0.000102546,0.000102546,0.000102546,0.000102546,0.000102546,0.000178336,0.000178336,0.000178336,0.000178336,0.000178336,0.000178336,0.000178336,0.000178336,0.000178336,0.000178336,0.000356672,0.000833294,0.000833294,0.000833294
27,0.0997972,0.0997972,0.0997972,0.0997972,0.0997972,0.0997972,0.0997972,0.0997972,0.0997972,0.0997972,9.04E-05,9.04E-05,9.04E-05,9.04E-05,9.04E-05,9.04E-05,9.04E-05,9.04E-05,9.04E-05,9.04E-05,0.000112382,0.000112382,0.000112382,0.000112382,0.000112382,0.000112382,0.000112382,0.000112382,0.000112382,0.000112382,0.000195524,0.000195524,0.000195524,0.000195524,0.000195524,0.000195524,0.000195524,0.000195524,0.000195524,0.000195524,0.000391047,0.00090387,0.00090387,0.00090387
28,0.0997789,0.0997789,0.0997789,0.0997789,0.0997789,0.0997789,0.0997789,0.0997789,0.0997789,0.0997789,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,0.000123047,0.000123047,0.000123047,0.000123047,0.000123047,0.000123047,0.000123047,0.000123047,0.000123047,0.000123047,0.000214163,0.000214163,0.000214163,0.000214163,0.000214163,0.000214163,0.000214163,0.000214163,0.000214163,0.000214163,0.000428327,0.000980389,0.000980389,0.000980389
29,0.0997591,0.0997591,0.0997591,0.0997591,0.0997591,0.0997591,0.0997591,0.0997591,0.0997591,0.0997591,0.000106335,0.000106335,0.000106335,0.000106335,0.000106335,0.000106335,0.000106335,0.000106335,0.000106335,0.000106335,0.000134612,0.000134612,0.000134612,0.000134612,0.000134612,0.000134612,0.000134612,0.000134612,0.000134612,0.000134612,0.000234377,0.000234377,0.000234377,0.000234377,0.000234377,0.000234377,0.000234377,0.000234377,0.000234377,0.000234377,0.000468754,0.00106335,0.00106335,0.00106335
30,0.0997375,0.0997375,0.0997375,0.0997375,0.0997375,0.0997375,0.0997375,0.0997375,0.0997375,0.0997375,0.000115327,0.000115327,0.000115327,0.000115327,0.000115327,0.000115327,0.000115327,0.000115327,0.000115327,0.000115327,0.000147152,0.000147152,0.000147152,0.000147152,0.000147152,0.000147152,0.000147152,0.000147152,0.000147152,0.000147152,0.000256296,0.000256296,0.000256296,0.000256296,0.000256296,0.000256296,0.000256296,0.000256296,0.000256296,0.000256296,0.000512591,0.00115327,0.00115327,0.00115327
