t,Sv0,Sv1,Ss0,Sg0,Sg1,Iv0,Iv1,Is0,Ig0,Ig1,Rv0,Rv1,Rs0,Rg0,Rg1,cumIv0,cumIv1,cumIs0,cumIg0,cumIg1,cumIv, pIv,pIs,pIg
0,0.19998,0.19998,0.19998,0.19998,0.19998,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
1,0.199976,0.199976,0.199976,0.199976,0.199976,2.17E-05,2.17E-05,2.17E-05,2.17E-05,2.17E-05,2.43E-06,2.43E-06,2.43E-06,2.43E-06,2.43E-06,4.13E-06,4.13E-06,4.13E-06,4.13E-06,4.13E-06,8.27E-06,0.000108509,0.000108509,0.000108509
2,0.199971,0.199971,0.199971,0.199971,0.199971,2.35E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,5.06E-06,5.06E-06,5.06E-06,5.06E-06,5.06E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,1.72E-05,0.000117741,0.000117741,0.000117741
3,0.199967,0.199967,0.199967,0.199967,0.199967,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,7.90E-06,7.90E-06,7.90E-06,7.90E-06,7.90E-06,1.35E-05,1.35E-05,1.35E-05,1.35E-05,1.35E-05,2.70E-05,0.000127759,0.000127759,0.000127759
4,0.199961,0.199961,0.199961,0.199961,0.199961,2.77E-05,2.77E-05,2.77E-05,2.77E-05,2.77E-05,1.10E-05,1.10E-05,1.10E-05,1.10E-05,1.10E-05,1.88E-05,1.88E-05,1.88E-05,1.88E-05,1.88E-05,3.75E-05,0.000138628,0.000138628,0.000138628
5,0.199956,0.199956,0.199956,0.199956,0.199956,3.01E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,1.43E-05,1.43E-05,1.43E-05,1.43E-05,1.43E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,4.90E-05,0.00015042,0.00015042,0.00015042
6,0.199949,0.199949,0.199949,0.199949,0.199949,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,1.79E-05,1.79E-05,1.79E-05,1.79E-05,1.79E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,6.14E-05,0.000163215,0.000163215,0.000163215
7,0.199943,0.199943,0.199943,0.199943,0.199943,3.54E-05,3.54E-05,3.54E-05,3.54E-05,3.54E-05,2.18E-05,2.18E-05,2.18E-05,2.18E-05,2.18E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,7.49E-05,0.000177098,0.000177098,0.000177098
8,0.199935,0.199935,0.199935,0.199935,0.199935,3.84E-05,3.84E-05,3.84E-05,3.84E-05,3.84E-05,2.61E-05,2.61E-05,2.61E-05,2.61E-05,2.61E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,8.96E-05,0.000192159,0.000192159,0.000192159
9,0.199928,0.199928,0.199928,0.199928,0.199928,4.17E-05,4.17E-05,4.17E-05,4.17E-05,4.17E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,5.27E-05,5.27E-05,5.27E-05,5.27E-05,5.27E-05,0.000105435,0.000208501,0.000208501,0.000208501
10,0.199919,0.199919,0.199919,0.199919,0.199919,4.52E-05,4.52E-05,4.52E-05,4.52E-05,4.52E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,6.13E-05,6.13E-05,6.13E-05,6.13E-05,6.13E-05,0.000122667,0.000226229,0.000226229,0.000226229
11,0.19991,0.19991,0.19991,0.19991,0.19991,4.91E-05,4.91E-05,4.91E-05,4.91E-05,4.91E-05,4.11E-05,4.11E-05,4.11E-05,4.11E-05,4.11E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,0.000141363,0.000245464,0.000245464,0.000245464
12,0.1999,0.1999,0.1999,0.1999,0.1999,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,0.000161648,0.000266331,0.000266331,0.000266331
13,0.199889,0.199889,0.199889,0.199889,0.199889,5.78E-05,5.78E-05,5.78E-05,5.78E-05,5.78E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,9.18E-05,9.18E-05,9.18E-05,9.18E-05,9.18E-05,0.000183656,0.000288969,0.000288969,0.000288969
14,0.199877,0.199877,0.199877,0.199877,0.199877,6.27E-05,6.27E-05,6.27E-05,6.27E-05,6.27E-05,6.01E-05,6.01E-05,6.01E-05,6.01E-05,6.01E-05,0.000103766,0.000103766,0.000103766,0.000103766,0.000103766,0.000207532,0.000313527,0.000313527,0.000313527
15,0.199864,0.199864,0.199864,0.199864,0.199864,6.80E-05,6.80E-05,6.80E-05,6.80E-05,6.80E-05,6.76E-05,6.76E-05,6.76E-05,6.76E-05,6.76E-05,0.000116718,0.000116718,0.000116718,0.000116718,0.000116718,0.000233437,0.000340169,0.000340169,0.000340169
16,0.199851,0.199851,0.199851,0.199851,0.199851,7.38E-05,7.38E-05,7.38E-05,7.38E-05,7.38E-05,7.56E-05,7.56E-05,7.56E-05,7.56E-05,7.56E-05,0.00013077,0.00013077,0.00013077,0.00013077,0.00013077,0.00026154,0.000369069,0.000369069,0.000369069
17,0.199836,0.199836,0.199836,0.199836,0.199836,8.01E-05,8.01E-05,8.01E-05,8.01E-05,8.01E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,0.000146014,0.000146014,0.000146014,0.000146014,0.000146014,0.000292029,0.00040042,0.00040042,0.00040042
18,0.199819,0.199819,0.199819,0.199819,0.199819,8.69E-05,8.69E-05,8.69E-05,8.69E-05,8.69E-05,9.39E-05,9.39E-05,9.39E-05,9.39E-05,9.39E-05,0.000162552,0.000162552,0.000162552,0.000162552,0.000162552,0.000325105,0.000434426,0.000434426,0.000434426
19,0.199802,0.199802,0.199802,0.199802,0.199802,9.43E-05,9.43E-05,9.43E-05,9.43E-05,9.43E-05,0.000104184,0.000104184,0.000104184,0.000104184,0.000104184,0.000180493,0.000180493,0.000180493,0.000180493,0.000180493,0.000360986,0.000471313,0.000471313,0.000471313
20,0.199782,0.199782,0.199782,0.199782,0.199782,0.000102264,0.000102264,0.000102264,0.000102264,0.000102264,0.000115343,0.000115343,0.000115343,0.000115343,0.000115343,0.000199955,0.000199955,0.000199955,0.000199955,0.000199955,0.00039991,0.000511322,0.000511322,0.000511322
21,0.199762,0.199762,0.199762,0.199762,0.199762,0.000110943,0.000110943,0.000110943,0.000110943,0.000110943,0.000127444,0.000127444,0.000127444,0.000127444,0.000127444,0.000221067,0.000221067,0.000221067,0.000221067,0.000221067,0.000442134,0.000554717,0.000554717,0.000554717
22,0.199739,0.199739,0.199739,0.199739,0.199739,0.000120356,0.000120356,0.000120356,0.000120356,0.000120356,0.000140565,0.000140565,0.000140565,0.000140565,0.000140565,0.000243968,0.000243968,0.000243968,0.000243968,0.000243968,0.000487935,0.000601781,0.000601781,0.000601781
23,0.199715,0.199715,0.199715,0.199715,0.199715,0.000130565,0.000130565,0.000130565,0.000130565,0.000130565,0.000154793,0.000154793,0.000154793,0.000154793,0.000154793,0.000268808,0.000268808,0.000268808,0.000268808,0.000268808,0.000537617,0.000652824,0.000652824,0.000652824
24,0.199688,0.199688,0.199688,0.199688,0.199688,0.000141636,0.000141636,0.000141636,0.000141636,0.000141636,0.000170221,0.000170221,0.000170221,0.000170221,0.000170221,0.000295752,0.000295752,0.000295752,0.000295752,0.000295752,0.000591504,0.000708178,0.000708178,0.000708178
25,0.199659,0.199659,0.199659,0.199659,0.199659,0.000153641,0.000153641,0.000153641,0.000153641,0.000153641,0.00018695,0.00018695,0.00018695,0.00018695,0.00018695,0.000324976,0.000324976,0.000324976,0.000324976,0.000324976,0.000649952,0.000768204,0.000768204,0.000768204
26,0.199628,0.199628,0.199628,0.199628,0.199628,0.000166659,0.000166659,0.000166659,0.000166659,0.000166659,0.000205091,0.000205091,0.000205091,0.000205091,0.000205091,0.000356672,0.000356672,0.000356672,0.000356672,0.000356672,0.000713344,0.000833294,0.000833294,0.000833294
27,0.199594,0.199594,0.199594,0.199594,0.199594,0.000180774,0.000180774,0.000180774,0.000180774,0.000180774,0.000224763,0.000224763,0.000224763,0.000224763,0.000224763,0.000391047,0.000391047,0.000391047,0.000391047,0.000391047,0.000782094,0.00090387,0.00090387,0.00090387
28,0.199558,0.199558,0.199558,0.199558,0.199558,0.000196078,0.000196078,0.000196078,0.000196078,0.000196078,0.000246094,0.000246094,0.000246094,0.000246094,0.000246094,0.000428327,0.000428327,0.000428327,0.000428327,0.000428327,0.000856653,0.000980389,0.000980389,0.000980389
29,0.199518,0.199518,0.199518,0.199518,0.199518,0.000212669,0.000212669,0.000212669,0.000212669,0.000212669,0.000269224,0.000269224,0.000269224,0.000269224,0.000269224,0.000468754,0.000468754,0.000468754,0.000468754,0.000468754,0.000937507,0.00106335,0.00106335,0.00106335
30,0.199475,0.199475,0.199475,0.199475,0.199475,0.000230655,0.000230655,0.000230655,0.000230655,0.000230655,0.000294305,0.000294305,0.000294305,0.000294305,0.000294305,0.000512591,0.000512591,0.000512591,0.000512591,0.000512591,0.00102518,0.00115327,0.00115327,0.00115327
31,0.199428,0.199428,0.199428,0.199428,0.199428,0.000250151,0.000250151,0.000250151,0.000250151,0.000250151,0.000321499,0.000321499,0.000321499,0.000321499,0.000321499,0.000560125,0.000560125,0.000560125,0.000560125,0.000560125,0.00112025,0.00125075,0.00125075,0.00125075
32,0.199378,0.199378,0.199378,0.199378,0.199378,0.000271281,0.000271281,0.000271281,0.000271281,0.000271281,0.000350985,0.000350985,0.000350985,0.000350985,0.000350985,0.000611662,0.000611662,0.000611662,0.000611662,0.000611662,0.00122332,0.0013564,0.0013564,0.0013564
33,0.199323,0.199323,0.199323,0.199323,0.199323,0.000294181,0.000294181,0.000294181,0.000294181,0.000294181,0.000382955,0.000382955,0.000382955,0.000382955,0.000382955,0.000667536,0.000667536,0.000667536,0.000667536,0.000667536,0.00133507,0.0014709,0.0014709,0.0014709
34,0.199263,0.199263,0.199263,0.199263,0.199263,0.000318996,0.000318996,0.000318996,0.000318996,0.000318996,0.000417616,0.000417616,0.000417616,0.000417616,0.000417616,0.000728108,0.000728108,0.000728108,0.000728108,0.000728108,0.00145622,0.00159498,0.00159498,0.00159498
35,0.199199,0.199199,0.199199,0.199199,0.199199,0.000345883,0.000345883,0.000345883,0.000345883,0.000345883,0.000455193,0.000455193,0.000455193,0.000455193,0.000455193,0.000793767,0.000793767,0.000793767,0.000793767,0.000793767,0.00158753,0.00172941,0.00172941,0.00172941
36,0.199129,0.199129,0.199129,0.199129,0.199129,0.000375011,0.000375011,0.000375011,0.000375011,0.000375011,0.000495929,0.000495929,0.000495929,0.000495929,0.000495929,0.000864933,0.000864933,0.000864933,0.000864933,0.000864933,0.00172987,0.00187505,0.00187505,0.00187505
37,0.199053,0.199053,0.199053,0.199053,0.199053,0.000406563,0.000406563,0.000406563,0.000406563,0.000406563,0.000540088,0.000540088,0.000540088,0.000540088,0.000540088,0.000942062,0.000942062,0.000942062,0.000942062,0.000942062,0.00188412,0.00203281,0.00203281,0.00203281
38,0.198971,0.198971,0.198971,0.198971,0.198971,0.000440735,0.000440735,0.000440735,0.000440735,0.000440735,0.000587953,0.000587953,0.000587953,0.000587953,0.000587953,0.00102564,0.00102564,0.00102564,0.00102564,0.00102564,0.00205129,0.00220367,0.00220367,0.00220367
39,0.198882,0.198882,0.198882,0.198882,0.198882,0.000477738,0.000477738,0.000477738,0.000477738,0.000477738,0.000639832,0.000639832,0.000639832,0.000639832,0.000639832,0.00111621,0.00111621,0.00111621,0.00111621,0.00111621,0.00223242,0.00238869,0.00238869,0.00238869
40,0.198786,0.198786,0.198786,0.198786,0.198786,0.000517801,0.000517801,0.000517801,0.000517801,0.000517801,0.000696058,0.000696058,0.000696058,0.000696058,0.000696058,0.00121433,0.00121433,0.00121433,0.00121433,0.00121433,0.00242865,0.00258901,0.00258901,0.00258901
41,0.198682,0.198682,0.198682,0.198682,0.198682,0.000561168,0.000561168,0.000561168,0.000561168,0.000561168,0.000756988,0.000756988,0.000756988,0.000756988,0.000756988,0.00132061,0.00132061,0.00132061,0.00132061,0.00132061,0.00264122,0.00280584,0.00280584,0.00280584
42,0.198569,0.198569,0.198569,0.198569,0.198569,0.000608102,0.000608102,0.000608102,0.000608102,0.000608102,0.000823011,0.000823011,0.000823011,0.000823011,0.000823011,0.00143573,0.00143573,0.00143573,0.00143573,0.00143573,0.00287146,0.00304051,0.00304051,0.00304051
43,0.198447,0.198447,0.198447,0.198447,0.198447,0.000658883,0.000658883,0.000658883,0.000658883,0.000658883,0.000894544,0.000894544,0.000894544,0.000894544,0.000894544,0.0015604,0.0015604,0.0015604,0.0015604,0.0015604,0.00312079,0.00329442,0.00329442,0.00329442
44,0.198314,0.198314,0.198314,0.198314,0.198314,0.000713816,0.000713816,0.000713816,0.000713816,0.000713816,0.000972037,0.000972037,0.000972037,0.000972037,0.000972037,0.00169538,0.00169538,0.00169538,0.00169538,0.00169538,0.00339076,0.00356908,0.00356908,0.00356908
45,0.198171,0.198171,0.198171,0.198171,0.198171,0.000773222,0.000773222,0.000773222,0.000773222,0.000773222,0.00105598,0.00105598,0.00105598,0.00105598,0.00105598,0.0018415,0.0018415,0.0018415,0.0018415,0.0018415,0.00368301,0.00386611,0.00386611,0.00386611
46,0.198016,0.198016,0.198016,0.198016,0.198016,0.000837449,0.000837449,0.000837449,0.000837449,0.000837449,0.00114689,0.00114689,0.00114689,0.00114689,0.00114689,0.00199966,0.00199966,0.00199966,0.00199966,0.00199966,0.00399931,0.00418724,0.00418724,0.00418724
47,0.197848,0.197848,0.197848,0.197848,0.197848,0.000906865,0.000906865,0.000906865,0.000906865,0.000906865,0.00124533,0.00124533,0.00124533,0.00124533,0.00124533,0.00217079,0.00217079,0.00217079,0.00217079,0.00217079,0.00434159,0.00453433,0.00453433,0.00453433
48,0.197666,0.197666,0.197666,0.197666,0.197666,0.000981865,0.000981865,0.000981865,0.000981865,0.000981865,0.00135192,0.00135192,0.00135192,0.00135192,0.00135192,0.00235594,0.00235594,0.00235594,0.00235594,0.00235594,0.00471187,0.00490933,0.00490933,0.00490933
49,0.19747,0.19747,0.19747,0.19747,0.19747,0.00106287,0.00106287,0.00106287,0.00106287,0.00106287,0.0014673,0.0014673,0.0014673,0.0014673,0.0014673,0.00255618,0.00255618,0.00255618,0.00255618,0.00255618,0.00511236,0.00531435,0.00531435,0.00531435
50,0.197257,0.197257,0.197257,0.197257,0.197257,0.00115032,0.00115032,0.00115032,0.00115032,0.00115032,0.00159218,0.00159218,0.00159218,0.00159218,0.00159218,0.0027727,0.0027727,0.0027727,0.0027727,0.0027727,0.0055454,0.00575161,0.00575161,0.00575161
51,0.197028,0.197028,0.197028,0.197028,0.197028,0.0012447,0.0012447,0.0012447,0.0012447,0.0012447,0.0017273,0.0017273,0.0017273,0.0017273,0.0017273,0.00300675,0.00300675,0.00300675,0.00300675,0.00300675,0.00601349,0.0062235,0.0062235,0.0062235
52,0.19678,0.19678,0.19678,0.19678,0.19678,0.0013465,0.0013465,0.0013465,0.0013465,0.0013465,0.00187348,0.00187348,0.00187348,0.00187348,0.00187348,0.00325966,0.00325966,0.00325966,0.00325966,0.00325966,0.00651932,0.0067325,0.0067325,0.0067325
53,0.196512,0.196512,0.196512,0.196512,0.196512,0.00145625,0.00145625,0.00145625,0.00145625,0.00145625,0.00203159,0.00203159,0.00203159,0.00203159,0.00203159,0.00353286,0.00353286,0.00353286,0.00353286,0.00353286,0.00706572,0.00728127,0.00728127,0.00728127
54,0.196223,0.196223,0.196223,0.196223,0.196223,0.00157452,0.00157452,0.00157452,0.00157452,0.00157452,0.00220254,0.00220254,0.00220254,0.00220254,0.00220254,0.00382787,0.00382787,0.00382787,0.00382787,0.00382787,0.00765575,0.0078726,0.0078726,0.0078726
55,0.195911,0.195911,0.195911,0.195911,0.195911,0.00170188,0.00170188,0.00170188,0.00170188,0.00170188,0.00238733,0.00238733,0.00238733,0.00238733,0.00238733,0.00414631,0.00414631,0.00414631,0.00414631,0.00414631,0.00829262,0.00850942,0.00850942,0.00850942
56,0.195574,0.195574,0.195574,0.195574,0.195574,0.00183896,0.00183896,0.00183896,0.00183896,0.00183896,0.00258701,0.00258701,0.00258701,0.00258701,0.00258701,0.00448988,0.00448988,0.00448988,0.00448988,0.00448988,0.00897976,0.00919478,0.00919478,0.00919478
57,0.195211,0.195211,0.195211,0.195211,0.195211,0.00198638,0.00198638,0.00198638,0.00198638,0.00198638,0.00280272,0.00280272,0.00280272,0.00280272,0.00280272,0.00486039,0.00486039,0.00486039,0.00486039,0.00486039,0.00972078,0.00993191,0.00993191,0.00993191
58,0.19482,0.19482,0.19482,0.19482,0.19482,0.00214482,0.00214482,0.00214482,0.00214482,0.00214482,0.00303565,0.00303565,0.00303565,0.00303565,0.00303565,0.00525976,0.00525976,0.00525976,0.00525976,0.00525976,0.0105195,0.0107241,0.0107241,0.0107241
59,0.194398,0.194398,0.194398,0.194398,0.194398,0.00231497,0.00231497,0.00231497,0.00231497,0.00231497,0.00328709,0.00328709,0.00328709,0.00328709,0.00328709,0.00569,0.00569,0.00569,0.00569,0.00569,0.01138,0.0115748,0.0115748,0.0115748
60,0.193944,0.193944,0.193944,0.193944,0.193944,0.00249753,0.00249753,0.00249753,0.00249753,0.00249753,0.00355838,0.00355838,0.00355838,0.00355838,0.00355838,0.00615322,0.00615322,0.00615322,0.00615322,0.00615322,0.0123064,0.0124876,0.0124876,0.0124876
61,0.193456,0.193456,0.193456,0.193456,0.193456,0.00269322,0.00269322,0.00269322,0.00269322,0.00269322,0.00385096,0.00385096,0.00385096,0.00385096,0.00385096,0.00665164,0.00665164,0.00665164,0.00665164,0.00665164,0.0133033,0.0134661,0.0134661,0.0134661
62,0.192931,0.192931,0.192931,0.192931,0.192931,0.0029028,0.0029028,0.0029028,0.0029028,0.0029028,0.00416635,0.00416635,0.00416635,0.00416635,0.00416635,0.00718758,0.00718758,0.00718758,0.00718758,0.00718758,0.0143752,0.014514,0.014514,0.014514
63,0.192367,0.192367,0.192367,0.192367,0.192367,0.00312699,0.00312699,0.00312699,0.00312699,0.00312699,0.00450614,0.00450614,0.00450614,0.00450614,0.00450614,0.00776344,0.00776344,0.00776344,0.00776344,0.00776344,0.0155269,0.0156349,0.0156349,0.0156349
64,0.191761,0.191761,0.191761,0.191761,0.191761,0.00336654,0.00336654,0.00336654,0.00336654,0.00336654,0.00487202,0.00487202,0.00487202,0.00487202,0.00487202,0.00838171,0.00838171,0.00838171,0.00838171,0.00838171,0.0167634,0.0168327,0.0168327,0.0168327
65,0.191112,0.191112,0.191112,0.191112,0.191112,0.0036222,0.0036222,0.0036222,0.0036222,0.0036222,0.00526574,0.00526574,0.00526574,0.00526574,0.00526574,0.00904497,0.00904497,0.00904497,0.00904497,0.00904497,0.0180899,0.018111,0.018111,0.018111
66,0.190416,0.190416,0.190416,0.190416,0.190416,0.00389467,0.00389467,0.00389467,0.00389467,0.00389467,0.00568915,0.00568915,0.00568915,0.00568915,0.00568915,0.00975585,0.00975585,0.00975585,0.00975585,0.00975585,0.0195117,0.0194733,0.0194733,0.0194733
67,0.189671,0.189671,0.189671,0.189671,0.189671,0.00418464,0.00418464,0.00418464,0.00418464,0.00418464,0.00614417,0.00614417,0.00614417,0.00614417,0.00614417,0.010517,0.010517,0.010517,0.010517,0.010517,0.0210341,0.0209232,0.0209232,0.0209232
68,0.188874,0.188874,0.188874,0.188874,0.188874,0.00449277,0.00449277,0.00449277,0.00449277,0.00449277,0.00663278,0.00663278,0.00663278,0.00663278,0.00663278,0.0113313,0.0113313,0.0113313,0.0113313,0.0113313,0.0226626,0.0224638,0.0224638,0.0224638
69,0.188023,0.188023,0.188023,0.188023,0.188023,0.00481964,0.00481964,0.00481964,0.00481964,0.00481964,0.00715705,0.00715705,0.00715705,0.00715705,0.00715705,0.0122013,0.0122013,0.0122013,0.0122013,0.0122013,0.0244026,0.0240982,0.0240982,0.0240982
70,0.187115,0.187115,0.187115,0.187115,0.187115,0.0051658,0.0051658,0.0051658,0.0051658,0.0051658,0.0077191,0.0077191,0.0077191,0.0077191,0.0077191,0.0131299,0.0131299,0.0131299,0.0131299,0.0131299,0.0262598,0.025829,0.025829,0.025829
71,0.186147,0.186147,0.186147,0.186147,0.186147,0.00553166,0.00553166,0.00553166,0.00553166,0.00553166,0.0083211,0.0083211,0.0083211,0.0083211,0.0083211,0.0141197,0.0141197,0.0141197,0.0141197,0.0141197,0.0282394,0.0276583,0.0276583,0.0276583
72,0.1856,0.1856,0.18558,0.18557,0.18557,0.00545641,0.00545641,0.00547554,0.0054851,0.0054851,0.00894376,0.00894376,0.00894467,0.00894513,0.00894513,0.0146908,0.0146908,0.0147108,0.0147208,0.0147208,0.0293815,0.0272821,0.0273777,0.0274255
73,0.185158,0.185158,0.185115,0.185093,0.185093,0.00529629,0.00529629,0.00533536,0.00535486,0.00535486,0.00954575,0.00954575,0.00955008,0.00955224,0.00955224,0.015158,0.015158,0.0152014,0.015223,0.015223,0.0303159,0.0264815,0.0266768,0.0267743
74,0.184731,0.184731,0.184665,0.184632,0.184632,0.00514113,0.00514113,0.00519731,0.00522531,0.00522531,0.0101277,0.0101277,0.0101376,0.0101426,0.0101426,0.0156117,0.0156117,0.0156778,0.0157108,0.0157108,0.0312235,0.0257057,0.0259866,0.0261266
75,0.184319,0.184319,0.184231,0.184187,0.184187,0.00499071,0.00499071,0.00506149,0.00509673,0.00509673,0.0106903,0.0106903,0.0107076,0.0107162,0.0107162,0.0160524,0.0160524,0.0161406,0.0161844,0.0161844,0.0321048,0.0249535,0.0253074,0.0254836
76,0.183921,0.183921,0.183812,0.183757,0.183757,0.00484479,0.00484479,0.00492796,0.00496932,0.00496932,0.0112341,0.0112341,0.0112603,0.0112734,0.0112734,0.0164803,0.0164803,0.0165898,0.0166443,0.0166443,0.0329607,0.024224,0.0246398,0.0248466
77,0.183537,0.183537,0.183407,0.183342,0.183342,0.00470319,0.00470319,0.00479678,0.00484328,0.00484328,0.0117596,0.0117596,0.0117961,0.0118143,0.0118143,0.0168958,0.0168958,0.017026,0.0170908,0.0170908,0.0337915,0.023516,0.0239839,0.0242164
78,0.183167,0.183167,0.183017,0.182942,0.182942,0.00456573,0.00456573,0.00466801,0.00471878,0.00471878,0.0122675,0.0122675,0.0123153,0.0123391,0.0123391,0.0172991,0.0172991,0.0174495,0.0175242,0.0175242,0.0345981,0.0228287,0.02334,0.0235939
79,0.18281,0.18281,0.18264,0.182556,0.182556,0.00443225,0.00443225,0.00454169,0.00459596,0.00459596,0.0127581,0.0127581,0.0128182,0.012848,0.012848,0.0176905,0.0176905,0.0178605,0.0179448,0.0179448,0.0353811,0.0221612,0.0227084,0.0229798
80,0.182465,0.182465,0.182277,0.182184,0.182184,0.00430259,0.00430259,0.00441784,0.00447495,0.00447495,0.0132321,0.0132321,0.0133051,0.0133414,0.0133414,0.0180705,0.0180705,0.0182594,0.0183531,0.0183531,0.036141,0.0215129,0.0220892,0.0223748
81,0.182133,0.182133,0.181927,0.181825,0.181825,0.00417661,0.00417661,0.00429651,0.00435586,0.00435586,0.0136899,0.0136899,0.0137764,0.0138194,0.0138194,0.0184392,0.0184392,0.0186464,0.0187492,0.0187492,0.0368784,0.0208831,0.0214825,0.0217793
82,0.181814,0.181814,0.18159,0.181479,0.181479,0.0040542,0.0040542,0.00417769,0.00423877,0.00423877,0.014132,0.014132,0.0142325,0.0142823,0.0142823,0.018797,0.018797,0.019022,0.0191335,0.0191335,0.037594,0.020271,0.0208885,0.0211939
83,0.181506,0.181506,0.181265,0.181146,0.181146,0.00393523,0.00393523,0.00406141,0.00412377,0.00412377,0.0145588,0.0145588,0.0146736,0.0147305,0.0147305,0.0191441,0.0191441,0.0193864,0.0195064,0.0195064,0.0382883,0.0196762,0.020307,0.0206188
84,0.18121,0.18121,0.180952,0.180825,0.180825,0.0038196,0.0038196,0.00394766,0.0040109,0.0040109,0.0149708,0.0149708,0.0151,0.0151641,0.0151641,0.0194809,0.0194809,0.01974,0.0198682,0.0198682,0.0389619,0.019098,0.0197383,0.0200545
85,0.180924,0.180924,0.180651,0.180516,0.180516,0.00370719,0.00370719,0.00383644,0.00390023,0.00390023,0.0153684,0.0153684,0.0155122,0.0155836,0.0155836,0.0198076,0.0198076,0.0200829,0.0202191,0.0202191,0.0396153,0.018536,0.0191822,0.0195011
86,0.18065,0.18065,0.180362,0.180219,0.180219,0.00359792,0.00359792,0.00372776,0.00379179,0.00379179,0.0157519,0.0157519,0.0159105,0.0159891,0.0159891,0.0201246,0.0201246,0.0204155,0.0205594,0.0205594,0.0402491,0.0179896,0.0186388,0.0189589
87,0.180386,0.180386,0.180083,0.179933,0.179933,0.00349169,0.00349169,0.00362159,0.0036856,0.0036856,0.0161219,0.0161219,0.0162952,0.016381,0.016381,0.020432,0.020432,0.0207381,0.0208895,0.0208895,0.0408639,0.0174584,0.0181079,0.018428
88,0.180133,0.180133,0.179816,0.179659,0.179659,0.00338841,0.00338841,0.00351792,0.0035817,0.0035817,0.0164786,0.0164786,0.0166665,0.0167596,0.0167596,0.0207301,0.0207301,0.021051,0.0212095,0.0212095,0.0414602,0.0169421,0.0175896,0.0179085
89,0.179889,0.179889,0.179558,0.179395,0.179395,0.00328801,0.00328801,0.00341674,0.00348009,0.00348009,0.0168225,0.0168225,0.017025,0.0171252,0.0171252,0.0210192,0.0210192,0.0213544,0.0215199,0.0215199,0.0420384,0.0164401,0.0170837,0.0174005
90,0.179656,0.179656,0.179311,0.179141,0.179141,0.00319041,0.00319041,0.00331801,0.00338078,0.00338078,0.0171539,0.0171539,0.0173708,0.017478,0.017478,0.0212996,0.0212996,0.0216486,0.0218209,0.0218209,0.0425991,0.0159521,0.0165901,0.0169039
91,0.179431,0.179431,0.179074,0.178898,0.178898,0.00309553,0.00309553,0.00322173,0.00328376,0.00328376,0.0174732,0.0174732,0.0177043,0.0178185,0.0178185,0.0215714,0.0215714,0.0219339,0.0221127,0.0221127,0.0431428,0.0154777,0.0161086,0.0164188
92,0.179216,0.179216,0.178846,0.178664,0.178664,0.0030033,0.0030033,0.00312785,0.00318904,0.00318904,0.0177807,0.0177807,0.0180258,0.0181469,0.0181469,0.021835,0.021835,0.0222104,0.0223956,0.0223956,0.04367,0.0150165,0.0156392,0.0159452
93,0.17901,0.17901,0.178628,0.17844,0.17844,0.00291365,0.00291365,0.00303634,0.00309659,0.00309659,0.0180768,0.0180768,0.0183356,0.0184634,0.0184634,0.0220905,0.0220905,0.0224785,0.0226699,0.0226699,0.0441811,0.0145683,0.0151817,0.015483
94,0.178812,0.178812,0.178419,0.178225,0.178225,0.00282651,0.00282651,0.00294718,0.00300641,0.00300641,0.0183618,0.0183618,0.018634,0.0187685,0.0187685,0.0223383,0.0223383,0.0227385,0.0229358,0.0229358,0.0446766,0.0141326,0.0147359,0.015032
95,0.178622,0.178622,0.178218,0.178019,0.178019,0.00274183,0.00274183,0.00286033,0.00291847,0.00291847,0.018636,0.018636,0.0189214,0.0190623,0.0190623,0.0225785,0.0225785,0.0229904,0.0231935,0.0231935,0.0451569,0.0137091,0.0143017,0.0145923
96,0.178441,0.178441,0.178026,0.177822,0.177822,0.00265953,0.00265953,0.00277576,0.00283275,0.00283275,0.0188997,0.0188997,0.019198,0.0193453,0.0193453,0.0228113,0.0228113,0.0232347,0.0234433,0.0234433,0.0456226,0.0132977,0.0138788,0.0141637
