t,Sv0,Sh0,Sh1,Sr0,Sr1,Iv0,Ih0,Ih1,Ir0,Ir1,Rv0,Rh0,Rh1,Rr0,Rr1,cumIv0,cumIh0,cumIh1,cumIr0,cumIr1,cumIv,pIv,pIh,pIr
275,0.175256,0.161661,0.161661,0.150032,0.150032,0.000989616,0.00281088,0.00281088,0.00427421,0.00427421,0.0237547,0.0355284,0.0355284,0.0456937,0.0456937,0.0373002,0.0525351,0.0525351,0.0656698,0.0656698,0.0373002,0.00494808,0.0140544,0.0213711
276,0.175196,0.161409,0.161409,0.149631,0.149631,0.00099805,0.00283077,0.00283077,0.00430066,0.00430066,0.0238055,0.0357599,0.0357599,0.0460683,0.0460683,0.0374246,0.0528842,0.0528842,0.0661965,0.0661965,0.0374246,0.00499025,0.0141538,0.0215033
277,0.175137,0.161157,0.161157,0.149229,0.149229,0.00100628,0.00284999,0.00284999,0.00432604,0.00432604,0.0238572,0.0359931,0.0359931,0.0464449,0.0464449,0.0375498,0.0532349,0.0532349,0.0667252,0.0667252,0.0375498,0.0050314,0.01425,0.0216302
278,0.175076,0.160904,0.160904,0.148826,0.148826,0.0010143,0.00286853,0.00286853,0.0043503,0.0043503,0.0239097,0.0362278,0.0362278,0.0468234,0.0468234,0.0376757,0.0535871,0.0535871,0.0672557,0.0672557,0.0376757,0.0050715,0.0143427,0.0217515
279,0.175015,0.16065,0.16065,0.148423,0.148423,0.0010221,0.00288638,0.00288638,0.00437344,0.00437344,0.0239629,0.036464,0.036464,0.0472036,0.0472036,0.0378024,0.0539407,0.0539407,0.0677879,0.0677879,0.0378024,0.00511051,0.0144319,0.0218672
280,0.174953,0.160395,0.160395,0.148019,0.148019,0.00102968,0.0029035,0.0029035,0.00439542,0.00439542,0.0240169,0.0367016,0.0367016,0.0475854,0.0475854,0.0379297,0.0542956,0.0542956,0.0683215,0.0683215,0.0379297,0.0051484,0.0145175,0.0219771
281,0.174891,0.16014,0.16014,0.147615,0.147615,0.00103703,0.00291989,0.00291989,0.00441624,0.00441624,0.0240716,0.0369405,0.0369405,0.0479686,0.0479686,0.0380576,0.0546518,0.0546518,0.0688565,0.0688565,0.0380576,0.00518513,0.0145995,0.0220812
282,0.174829,0.159884,0.159884,0.147211,0.147211,0.00104413,0.00293554,0.00293554,0.00443587,0.00443587,0.024127,0.0371806,0.0371806,0.0483532,0.0483532,0.0381861,0.0550091,0.0550091,0.0693926,0.0693926,0.0381861,0.00522067,0.0146777,0.0221794
283,0.174766,0.159628,0.159628,0.146807,0.146807,0.001051,0.00295042,0.00295042,0.0044543,0.0044543,0.0241831,0.0374219,0.0374219,0.0487389,0.0487389,0.0383152,0.0553674,0.0553674,0.0699297,0.0699297,0.0383152,0.00525499,0.0147521,0.0222715
284,0.174703,0.159371,0.159371,0.146403,0.146403,0.00105761,0.00296454,0.00296454,0.0044715,0.0044715,0.0242398,0.0376641,0.0376641,0.0491256,0.0491256,0.0384449,0.0557267,0.0557267,0.0704677,0.0704677,0.0384449,0.00528805,0.0148227,0.0223575
285,0.174639,0.159115,0.159115,0.145999,0.145999,0.00106397,0.00297786,0.00297786,0.00448747,0.00448747,0.0242971,0.0379073,0.0379073,0.0495132,0.0495132,0.038575,0.0560867,0.0560867,0.0710064,0.0710064,0.038575,0.00531983,0.0148893,0.0224374
286,0.174575,0.158858,0.158858,0.145596,0.145596,0.00107006,0.00299039,0.00299039,0.0045022,0.0045022,0.0243549,0.0381514,0.0381514,0.0499016,0.0499016,0.0387056,0.0564475,0.0564475,0.0715457,0.0715457,0.0387056,0.00535029,0.014952,0.022511
287,0.174511,0.158602,0.158602,0.145194,0.145194,0.00107588,0.00300211,0.00300211,0.00451567,0.00451567,0.0244133,0.0383962,0.0383962,0.0502905,0.0502905,0.0388367,0.0568088,0.0568088,0.0720853,0.0720853,0.0388367,0.00537942,0.0150106,0.0225783
288,0.174446,0.158345,0.158345,0.144792,0.144792,0.00108144,0.00301302,0.00301302,0.00452787,0.00452787,0.0244722,0.0386416,0.0386416,0.0506798,0.0506798,0.0389681,0.0571707,0.0571707,0.0726252,0.0726252,0.0389681,0.00540719,0.0150651,0.0226394
289,0.174382,0.158089,0.158089,0.144392,0.144392,0.00108671,0.0030231,0.0030231,0.0045388,0.0045388,0.0245316,0.0388876,0.0388876,0.0510695,0.0510695,0.0390999,0.057533,0.057533,0.0731651,0.0731651,0.0390999,0.00543357,0.0151155,0.022694
290,0.174317,0.157834,0.157834,0.143992,0.143992,0.00109171,0.00303235,0.00303235,0.00454845,0.00454845,0.0245914,0.039134,0.039134,0.0514592,0.0514592,0.039232,0.0578955,0.0578955,0.073705,0.073705,0.039232,0.00545854,0.0151618,0.0227423
291,0.174252,0.157578,0.157578,0.143594,0.143594,0.00109642,0.00304076,0.00304076,0.00455682,0.00455682,0.0246516,0.0393808,0.0393808,0.051849,0.051849,0.0393643,0.0582583,0.0582583,0.0742446,0.0742446,0.0393643,0.00548209,0.0152038,0.0227841
292,0.174187,0.157324,0.157324,0.143198,0.143198,0.00110084,0.00304833,0.00304833,0.0045639,0.0045639,0.0247122,0.0396279,0.0396279,0.0522386,0.0522386,0.039497,0.0586211,0.0586211,0.0747839,0.0747839,0.039497,0.00550419,0.0152417,0.0228195
293,0.174122,0.15707,0.15707,0.142802,0.142802,0.00110496,0.00305505,0.00305505,0.0045697,0.0045697,0.0247731,0.0398751,0.0398751,0.0526278,0.0526278,0.0396298,0.058984,0.058984,0.0753226,0.0753226,0.0396298,0.00552482,0.0152753,0.0228485
294,0.174057,0.156817,0.156817,0.142409,0.142409,0.0011088,0.00306093,0.00306093,0.00457421,0.00457421,0.0248344,0.0401223,0.0401223,0.0530166,0.0530166,0.0397628,0.0593467,0.0593467,0.0758606,0.0758606,0.0397628,0.00554398,0.0153046,0.022871
295,0.173992,0.156565,0.156565,0.142018,0.142018,0.00111233,0.00306595,0.00306595,0.00457744,0.00457744,0.0248958,0.0403695,0.0403695,0.0534048,0.0534048,0.0398959,0.0597092,0.0597092,0.0763978,0.0763978,0.0398959,0.00556164,0.0153297,0.0228872
296,0.173927,0.156313,0.156313,0.141628,0.141628,0.00111556,0.00307012,0.00307012,0.00457938,0.00457938,0.0249575,0.0406166,0.0406166,0.0537923,0.0537923,0.0400291,0.0600714,0.0600714,0.076934,0.076934,0.0400291,0.00557781,0.0153506,0.0228969
297,0.173862,0.156063,0.156063,0.141241,0.141241,0.00111849,0.00307344,0.00307344,0.00458005,0.00458005,0.0250194,0.0408635,0.0408635,0.0541788,0.0541788,0.0401624,0.0604332,0.0604332,0.0774691,0.0774691,0.0401624,0.00559246,0.0153672,0.0229003
298,0.173797,0.155814,0.155814,0.140856,0.140856,0.00112112,0.0030759,0.0030759,0.00457945,0.00457945,0.0250815,0.04111,0.04111,0.0545642,0.0545642,0.0402957,0.0607944,0.0607944,0.078003,0.078003,0.0402957,0.0056056,0.0153795,0.0228973
299,0.173733,0.155566,0.155566,0.140474,0.140474,0.00112344,0.00307752,0.00307752,0.0045776,0.0045776,0.0251436,0.041356,0.041356,0.0549485,0.0549485,0.040429,0.0611551,0.0611551,0.0785354,0.0785354,0.040429,0.0056172,0.0153876,0.022888
300,0.173669,0.15532,0.15532,0.140094,0.140094,0.00112546,0.00307829,0.00307829,0.00457449,0.00457449,0.0252059,0.0416016,0.0416016,0.0553314,0.0553314,0.0405622,0.061515,0.061515,0.0790663,0.0790663,0.0405622,0.00562728,0.0153915,0.0228725
301,0.173605,0.155075,0.155075,0.139717,0.139717,0.00112717,0.00307823,0.00307823,0.00457015,0.00457015,0.0252682,0.0418465,0.0418465,0.0557129,0.0557129,0.0406954,0.0618742,0.0618742,0.0795955,0.0795955,0.0406954,0.00563583,0.0153911,0.0228508
302,0.173541,0.154832,0.154832,0.139343,0.139343,0.00112857,0.00307732,0.00307732,0.00456458,0.00456458,0.0253305,0.0420907,0.0420907,0.0560927,0.0560927,0.0408284,0.0622324,0.0622324,0.0801229,0.0801229,0.0408284,0.00564285,0.0153866,0.0228229
303,0.173478,0.15459,0.15459,0.138971,0.138971,0.00112967,0.00307559,0.00307559,0.0045578,0.0045578,0.0253927,0.042334,0.042334,0.0564708,0.0564708,0.0409613,0.0625897,0.0625897,0.0806484,0.0806484,0.0409613,0.00564834,0.015378,0.022789
304,0.173415,0.154351,0.154351,0.138603,0.138603,0.00113046,0.00307304,0.00307304,0.00454983,0.00454983,0.025455,0.0425764,0.0425764,0.056847,0.056847,0.0410939,0.0629459,0.0629459,0.0811718,0.0811718,0.0410939,0.00565231,0.0153652,0.0227492
305,0.173352,0.154112,0.154112,0.138238,0.138238,0.00113095,0.00306967,0.00306967,0.00454068,0.00454068,0.0255171,0.0428179,0.0428179,0.0572211,0.0572211,0.0412264,0.063301,0.063301,0.0816931,0.0816931,0.0412264,0.00565475,0.0153483,0.0227034
306,0.17329,0.153876,0.153876,0.137877,0.137877,0.00113114,0.0030655,0.0030655,0.00453036,0.00453036,0.0255791,0.0430582,0.0430582,0.0575931,0.0575931,0.0413585,0.0636548,0.0636548,0.082212,0.082212,0.0413585,0.00565568,0.0153275,0.0226518
307,0.173228,0.153642,0.153642,0.137518,0.137518,0.00113102,0.00306053,0.00306053,0.00451891,0.00451891,0.0256409,0.0432973,0.0432973,0.0579628,0.0579628,0.0414904,0.0640072,0.0640072,0.0827286,0.0827286,0.0414904,0.0056551,0.0153026,0.0225945
308,0.173167,0.15341,0.15341,0.137164,0.137164,0.00113061,0.00305478,0.00305478,0.00450633,0.00450633,0.0257025,0.0435352,0.0435352,0.0583301,0.0583301,0.041622,0.0643583,0.0643583,0.0832426,0.0832426,0.041622,0.00565303,0.0152739,0.0225317
309,0.173106,0.15318,0.15318,0.136813,0.136813,0.00112989,0.00304825,0.00304825,0.00449266,0.00449266,0.0257639,0.0437717,0.0437717,0.0586948,0.0586948,0.0417531,0.0647078,0.0647078,0.083754,0.083754,0.0417531,0.00564947,0.0152413,0.0224633
310,0.173046,0.152952,0.152952,0.136465,0.136465,0.00112889,0.00304097,0.00304097,0.0044779,0.0044779,0.025825,0.0440067,0.0440067,0.0590569,0.0590569,0.0418839,0.0650558,0.0650558,0.0842626,0.0842626,0.0418839,0.00564445,0.0152048,0.0223895
311,0.172987,0.152727,0.152727,0.136122,0.136122,0.00112759,0.00303293,0.00303293,0.0044621,0.0044621,0.0258859,0.0442402,0.0442402,0.0594163,0.0594163,0.0420143,0.0654022,0.0654022,0.0847685,0.0847685,0.0420143,0.00563797,0.0151647,0.0223105
312,0.172928,0.152504,0.152504,0.135782,0.135782,0.00112601,0.00302417,0.00302417,0.00444526,0.00444526,0.0259463,0.0444721,0.0444721,0.0597727,0.0597727,0.0421442,0.0657469,0.0657469,0.0852713,0.0852713,0.0421442,0.00563006,0.0151208,0.0222263
313,0.172869,0.152283,0.152283,0.135446,0.135446,0.00112414,0.00301468,0.00301468,0.00442741,0.00442741,0.0260065,0.0447023,0.0447023,0.0601262,0.0601262,0.0422736,0.0660897,0.0660897,0.0857712,0.0857712,0.0422736,0.00562072,0.0150734,0.0221371
314,0.172812,0.152065,0.152065,0.135115,0.135115,0.001122,0.00300449,0.00300449,0.00440859,0.00440859,0.0260662,0.0449307,0.0449307,0.0604765,0.0604765,0.0424025,0.0664307,0.0664307,0.0862679,0.0862679,0.0424025,0.00560999,0.0150225,0.022043
315,0.172755,0.151849,0.151849,0.134788,0.134788,0.00111957,0.00299361,0.00299361,0.00438881,0.00438881,0.0261255,0.0451573,0.0451573,0.0608236,0.0608236,0.0425309,0.0667698,0.0667698,0.0867614,0.0867614,0.0425309,0.00559787,0.0149681,0.0219441
316,0.172699,0.151636,0.151636,0.134464,0.134464,0.00111688,0.00298206,0.00298206,0.00436811,0.00436811,0.0261843,0.0453819,0.0453819,0.0611675,0.0611675,0.0426587,0.0671069,0.0671069,0.0872517,0.0872517,0.0426587,0.00558441,0.0149103,0.0218406
317,0.172643,0.151426,0.151426,0.134146,0.134146,0.00111392,0.00296986,0.00296986,0.00434651,0.00434651,0.0262427,0.0456046,0.0456046,0.0615079,0.0615079,0.0427859,0.067442,0.067442,0.0877385,0.0877385,0.0427859,0.0055696,0.0148493,0.0217325
318,0.172589,0.151218,0.151218,0.133831,0.133831,0.0011107,0.00295701,0.00295701,0.00432404,0.00432404,0.0263005,0.0458251,0.0458251,0.0618448,0.0618448,0.0429125,0.067775,0.067775,0.088222,0.088222,0.0429125,0.00555349,0.014785,0.0216202
319,0.172535,0.151013,0.151013,0.133521,0.133521,0.00110722,0.00294354,0.00294354,0.00430072,0.00430072,0.0263578,0.0460436,0.0460436,0.0621781,0.0621781,0.0430384,0.0681058,0.0681058,0.0887019,0.0887019,0.0430384,0.0055361,0.0147177,0.0215036
320,0.172482,0.150811,0.150811,0.133216,0.133216,0.00110349,0.00292947,0.00292947,0.00427659,0.00427659,0.0264144,0.0462598,0.0462598,0.0625078,0.0625078,0.0431637,0.0684344,0.0684344,0.0891782,0.0891782,0.0431637,0.00551745,0.0146473,0.021383
321,0.17243,0.150611,0.150611,0.132915,0.132915,0.00109951,0.00291481,0.00291481,0.00425168,0.00425168,0.0264705,0.0464738,0.0464738,0.0628337,0.0628337,0.0432882,0.0687607,0.0687607,0.0896509,0.0896509,0.0432882,0.00549757,0.0145741,0.0212584
322,0.172379,0.150415,0.150415,0.132618,0.132618,0.0010953,0.00289959,0.00289959,0.00422601,0.00422601,0.026526,0.0466854,0.0466854,0.0631557,0.0631557,0.0434121,0.0690847,0.0690847,0.0901199,0.0901199,0.0434121,0.0054765,0.0144979,0.0211301
323,0.172328,0.150222,0.150222,0.132327,0.132327,0.00109085,0.00288381,0.00288381,0.00419962,0.00419962,0.0265808,0.0468946,0.0468946,0.0634739,0.0634739,0.0435352,0.0694064,0.0694064,0.0905851,0.0905851,0.0435352,0.00545425,0.0144191,0.0209981
324,0.172279,0.150031,0.150031,0.132039,0.132039,0.00108617,0.00286751,0.00286751,0.00417253,0.00417253,0.0266349,0.0471015,0.0471015,0.063788,0.063788,0.0436575,0.0697257,0.0697257,0.0910465,0.0910465,0.0436575,0.00543086,0.0143376,0.0208627
325,0.17223,0.149844,0.149844,0.131757,0.131757,0.00108127,0.0028507,0.0028507,0.00414478,0.00414478,0.0266884,0.0473058,0.0473058,0.0640981,0.0640981,0.0437791,0.0700425,0.0700425,0.091504,0.091504,0.0437791,0.00540637,0.0142535,0.0207239
326,0.172183,0.149659,0.149659,0.13148,0.13148,0.00107616,0.00283339,0.00283339,0.00411639,0.00411639,0.026741,0.0475075,0.0475075,0.0644041,0.0644041,0.0438998,0.0703568,0.0703568,0.0919576,0.0919576,0.0438998,0.00538079,0.014167,0.0205819
327,0.172136,0.149478,0.149478,0.131207,0.131207,0.00107084,0.00281562,0.00281562,0.00408739,0.00408739,0.026793,0.0477067,0.0477067,0.0647059,0.0647059,0.0440198,0.0706687,0.0706687,0.0924073,0.0924073,0.0440198,0.00535418,0.0140781,0.020437
328,0.172091,0.149299,0.149299,0.130939,0.130939,0.00106531,0.00279739,0.00279739,0.00405782,0.00405782,0.0268441,0.0479032,0.0479032,0.0650035,0.0650035,0.0441389,0.0709779,0.0709779,0.092853,0.092853,0.0441389,0.00532655,0.013987,0.0202891
329,0.172046,0.149124,0.149124,0.130676,0.130676,0.00105959,0.00277873,0.00277873,0.00402771,0.00402771,0.0268945,0.0480971,0.0480971,0.0652967,0.0652967,0.0442572,0.0712846,0.0712846,0.0932946,0.0932946,0.0442572,0.00529794,0.0138937,0.0201385
330,0.172002,0.148952,0.148952,0.130417,0.130417,0.00105368,0.00275966,0.00275966,0.00399707,0.00399707,0.0269441,0.0482882,0.0482882,0.0655857,0.0655857,0.0443746,0.0715887,0.0715887,0.0937322,0.0937322,0.0443746,0.00526838,0.0137983,0.0199854
331,0.17196,0.148783,0.148783,0.130164,0.130164,0.00104758,0.00274019,0.00274019,0.00396595,0.00396595,0.0269928,0.0484765,0.0484765,0.0658702,0.0658702,0.0444911,0.0718901,0.0718901,0.0941657,0.0941657,0.0444911,0.00523792,0.013701,0.0198297
332,0.171918,0.148618,0.148618,0.129915,0.129915,0.00104132,0.00272035,0.00272035,0.00393437,0.00393437,0.0270406,0.0486621,0.0486621,0.0661503,0.0661503,0.0446067,0.0721889,0.0721889,0.0945951,0.0945951,0.0446067,0.00520658,0.0136018,0.0196718
333,0.171878,0.148455,0.148455,0.129672,0.129672,0.00103488,0.00270016,0.00270016,0.00390236,0.00390236,0.0270876,0.0488447,0.0488447,0.0664259,0.0664259,0.0447214,0.072485,0.072485,0.0950203,0.0950203,0.0447214,0.00517439,0.0135008,0.0195118
334,0.171838,0.148296,0.148296,0.129433,0.129433,0.00102828,0.00267963,0.00267963,0.00386995,0.00386995,0.0271337,0.0490246,0.0490246,0.066697,0.066697,0.0448352,0.0727783,0.0727783,0.0954414,0.0954414,0.0448352,0.00514139,0.0133982,0.0193497
335,0.1718,0.14814,0.14814,0.129199,0.129199,0.00102152,0.00265878,0.00265878,0.00383716,0.00383716,0.0271789,0.0492015,0.0492015,0.0669636,0.0669636,0.044948,0.073069,0.073069,0.0958583,0.0958583,0.044948,0.00510762,0.0132939,0.0191858
336,0.171762,0.147987,0.147987,0.12897,0.12897,0.00101462,0.00263764,0.00263764,0.00380404,0.00380404,0.0272232,0.0493755,0.0493755,0.0672256,0.0672256,0.0450599,0.0733568,0.0733568,0.096271,0.096271,0.0450599,0.00507311,0.0131882,0.0190202
337,0.171726,0.147837,0.147837,0.128746,0.128746,0.00100758,0.00261622,0.00261622,0.00377059,0.00377059,0.0272665,0.0495465,0.0495465,0.0674831,0.0674831,0.0451708,0.073642,0.073642,0.0966795,0.0966795,0.0451708,0.00503789,0.0130811,0.0188529
338,0.171691,0.147691,0.147691,0.128527,0.128527,0.0010004,0.00259454,0.00259454,0.00373685,0.00373685,0.0273089,0.0497146,0.0497146,0.0677359,0.0677359,0.0452808,0.0739243,0.0739243,0.0970838,0.0970838,0.0452808,0.00500201,0.0129727,0.0186843
339,0.171657,0.147548,0.147548,0.128313,0.128313,0.000993096,0.00257262,0.00257262,0.00370285,0.00370285,0.0273504,0.0498796,0.0498796,0.067984,0.067984,0.0453898,0.0742039,0.0742039,0.0974838,0.0974838,0.0453898,0.00496548,0.0128631,0.0185142
340,0.171623,0.147408,0.147408,0.128104,0.128104,0.000985671,0.00255047,0.00255047,0.00366861,0.00366861,0.0273908,0.0500416,0.0500416,0.0682275,0.0682275,0.0454979,0.0744806,0.0744806,0.0978797,0.0978797,0.0454979,0.00492835,0.0127523,0.018343
341,0.171592,0.147271,0.147271,0.127899,0.127899,0.000978131,0.00252812,0.00252812,0.00363415,0.00363415,0.0274303,0.0502006,0.0502006,0.0684663,0.0684663,0.0456049,0.0747546,0.0747546,0.0982713,0.0982713,0.0456049,0.00489065,0.0126406,0.0181708
342,0.171561,0.147138,0.147138,0.1277,0.1277,0.000970484,0.00250558,0.00250558,0.00359951,0.00359951,0.0274688,0.0503566,0.0503566,0.0687005,0.0687005,0.0457109,0.0750258,0.0750258,0.0986587,0.0986587,0.0457109,0.00485242,0.0125279,0.0179975
343,0.171531,0.147008,0.147008,0.127505,0.127505,0.000962737,0.00248287,0.00248287,0.0035647,0.0035647,0.0275063,0.0505095,0.0505095,0.06893,0.06893,0.045816,0.0752941,0.0752941,0.0990419,0.0990419,0.045816,0.00481368,0.0124143,0.0178235
344,0.171502,0.146881,0.146881,0.127316,0.127316,0.000954895,0.00246,0.00246,0.00352975,0.00352975,0.0275428,0.0506593,0.0506593,0.0691547,0.0691547,0.04592,0.0755596,0.0755596,0.0994209,0.0994209,0.04592,0.00477448,0.0123,0.0176488
345,0.171475,0.146757,0.146757,0.12713,0.12713,0.000946966,0.002437,0.002437,0.00349469,0.00349469,0.0275782,0.050806,0.050806,0.0693748,0.0693748,0.0460231,0.0758223,0.0758223,0.0997957,0.0997957,0.0460231,0.00473483,0.012185,0.0174734
346,0.171448,0.146636,0.146636,0.12695,0.12695,0.000938956,0.00241387,0.00241387,0.00345953,0.00345953,0.0276127,0.0509496,0.0509496,0.0695902,0.0695902,0.0461251,0.0760823,0.0760823,0.100166,0.100166,0.0461251,0.00469478,0.0120694,0.0172976
347,0.171423,0.146519,0.146519,0.126775,0.126775,0.000930871,0.00239064,0.00239064,0.00342429,0.00342429,0.0276461,0.0510902,0.0510902,0.0698009,0.0698009,0.0462261,0.0763393,0.0763393,0.100533,0.100533,0.0462261,0.00465435,0.0119532,0.0171215
348,0.171399,0.146405,0.146405,0.126604,0.126604,0.000922717,0.00236732,0.00236732,0.003389,0.003389,0.0276784,0.0512276,0.0512276,0.0700069,0.0700069,0.0463261,0.0765936,0.0765936,0.100895,0.100895,0.0463261,0.00461358,0.0118366,0.016945
349,0.171376,0.146294,0.146294,0.126438,0.126438,0.0009145,0.00234392,0.00234392,0.00335368,0.00335368,0.0277097,0.051362,0.051362,0.0702082,0.0702082,0.0464251,0.0768451,0.0768451,0.101253,0.101253,0.0464251,0.0045725,0.0117196,0.0167684
350,0.171354,0.146186,0.146186,0.126277,0.126277,0.000906227,0.00232047,0.00232047,0.00331835,0.00331835,0.02774,0.0514932,0.0514932,0.0704049,0.0704049,0.046523,0.0770938,0.0770938,0.101607,0.101607,0.046523,0.00453113,0.0116023,0.0165918
351,0.171333,0.146082,0.146082,0.12612,0.12612,0.000897902,0.00229696,0.00229696,0.00328303,0.00328303,0.0277692,0.0516214,0.0516214,0.0705969,0.0705969,0.04662,0.0773397,0.0773397,0.101957,0.101957,0.04662,0.00448951,0.0114848,0.0164152
352,0.171313,0.14598,0.14598,0.125968,0.125968,0.000889533,0.00227343,0.00227343,0.00324773,0.00324773,0.0277974,0.0517464,0.0517464,0.0707843,0.0707843,0.0467159,0.0775828,0.0775828,0.102303,0.102303,0.0467159,0.00444766,0.0113671,0.0162387
353,0.171294,0.145882,0.145882,0.12582,0.12582,0.000881124,0.00224987,0.00224987,0.00321248,0.00321248,0.0278245,0.0518684,0.0518684,0.070967,0.070967,0.0468108,0.0778232,0.0778232,0.102644,0.102644,0.0468108,0.00440562,0.0112494,0.0160624
354,0.171277,0.145786,0.145786,0.125678,0.125678,0.000872681,0.00222631,0.00222631,0.00317729,0.00317729,0.0278506,0.0519873,0.0519873,0.0711452,0.0711452,0.0469047,0.0780608,0.0780608,0.102982,0.102982,0.0469047,0.0043634,0.0111316,0.0158865
355,0.17126,0.145694,0.145694,0.125539,0.125539,0.000864209,0.00220275,0.00220275,0.00314218,0.00314218,0.0278756,0.0521031,0.0521031,0.0713187,0.0713187,0.0469976,0.0782957,0.0782957,0.103315,0.103315,0.0469976,0.00432105,0.0110138,0.0157109
356,0.171245,0.145605,0.145605,0.125405,0.125405,0.000855714,0.00217922,0.00217922,0.00310716,0.00310716,0.0278995,0.0522159,0.0522159,0.0714877,0.0714877,0.0470894,0.0785278,0.0785278,0.103645,0.103645,0.0470894,0.00427857,0.0108961,0.0155358
357,0.17123,0.145519,0.145519,0.125276,0.125276,0.0008472,0.00215571,0.00215571,0.00307225,0.00307225,0.0279224,0.0523256,0.0523256,0.0716522,0.0716522,0.0471803,0.0787572,0.0787572,0.103971,0.103971,0.0471803,0.004236,0.0107786,0.0153613
358,0.171217,0.145435,0.145435,0.12515,0.12515,0.000838673,0.00213225,0.00213225,0.00303747,0.00303747,0.0279443,0.0524323,0.0524323,0.0718121,0.0718121,0.0472701,0.0789839,0.0789839,0.104292,0.104292,0.0472701,0.00419336,0.0106612,0.0151874
359,0.171205,0.145355,0.145355,0.12503,0.12503,0.000830137,0.00210883,0.00210883,0.00300283,0.00300283,0.027965,0.052536,0.052536,0.0719676,0.0719676,0.0473589,0.079208,0.079208,0.10461,0.10461,0.0473589,0.00415068,0.0105442,0.0150141
360,0.171194,0.145278,0.145278,0.124913,0.124913,0.000821597,0.00208548,0.00208548,0.00296833,0.00296833,0.0279848,0.0526366,0.0526366,0.0721186,0.0721186,0.0474468,0.0794293,0.0794293,0.104924,0.104924,0.0474468,0.00410798,0.0104274,0.0148417
361,0.171183,0.145204,0.145204,0.124801,0.124801,0.000813057,0.00206221,0.00206221,0.00293401,0.00293401,0.0280034,0.0527343,0.0527343,0.0722652,0.0722652,0.0475336,0.0796481,0.0796481,0.105234,0.105234,0.0475336,0.00406528,0.010311,0.01467
362,0.171174,0.145132,0.145132,0.124693,0.124693,0.000804522,0.00203901,0.00203901,0.00289986,0.00289986,0.0280211,0.0528289,0.0528289,0.0724074,0.0724074,0.0476194,0.0798642,0.0798642,0.10554,0.10554,0.0476194,0.00402261,0.0101951,0.0144993
363,0.171166,0.145063,0.145063,0.124589,0.124589,0.000795996,0.00201591,0.00201591,0.0028659,0.0028659,0.0280377,0.0529207,0.0529207,0.0725452,0.0725452,0.0477043,0.0800776,0.0800776,0.105843,0.105843,0.0477043,0.00397998,0.0100796,0.0143295
364,0.171159,0.144998,0.144998,0.124489,0.124489,0.000787483,0.00199291,0.00199291,0.00283214,0.00283214,0.0280532,0.0530095,0.0530095,0.0726787,0.0726787,0.0477882,0.0802885,0.0802885,0.106141,0.106141,0.0477882,0.00393741,0.00996456,0.0141607
365,0.171153,0.144935,0.144935,0.124393,0.124393,0.000778987,0.00197002,0.00197002,0.0027986,0.0027986,0.0280677,0.0530953,0.0530953,0.072808,0.072808,0.0478711,0.0804969,0.0804969,0.106436,0.106436,0.0478711,0.00389493,0.00985011,0.013993
366,0.171148,0.144874,0.144874,0.124302,0.124302,0.000770511,0.00194725,0.00194725,0.00276527,0.00276527,0.0280812,0.0531783,0.0531783,0.0729329,0.0729329,0.047953,0.0807026,0.0807026,0.106728,0.106728,0.047953,0.00385256,0.00973624,0.0138263
367,0.171144,0.144817,0.144817,0.124214,0.124214,0.00076206,0.0019246,0.0019246,0.00273217,0.00273217,0.0280937,0.0532584,0.0532584,0.0730537,0.0730537,0.048034,0.0809059,0.0809059,0.107015,0.107015,0.048034,0.0038103,0.00962301,0.0136609
368,0.171141,0.144762,0.144762,0.12413,0.12413,0.000753637,0.00190209,0.00190209,0.00269932,0.00269932,0.0281051,0.0533356,0.0533356,0.0731703,0.0731703,0.048114,0.0811067,0.0811067,0.107299,0.107299,0.048114,0.00376819,0.00951043,0.0134966
369,0.171139,0.14471,0.14471,0.124051,0.124051,0.000745245,0.00187971,0.00187971,0.00266671,0.00266671,0.0281156,0.0534101,0.0534101,0.0732828,0.0732828,0.048193,0.0813049,0.0813049,0.10758,0.10758,0.048193,0.00372623,0.00939855,0.0133336
370,0.171138,0.144661,0.144661,0.123974,0.123974,0.000736888,0.00185748,0.00185748,0.00263436,0.00263436,0.028125,0.0534817,0.0534817,0.0733911,0.0733911,0.0482712,0.0815008,0.0815008,0.107857,0.107857,0.0482712,0.00368444,0.00928741,0.0131718
371,0.171138,0.144614,0.144614,0.123902,0.123902,0.000728568,0.00183541,0.00183541,0.00260228,0.00260228,0.0281335,0.0535505,0.0535505,0.0734955,0.0734955,0.0483483,0.0816941,0.0816941,0.10813,0.10813,0.0483483,0.00364284,0.00917703,0.0130114
372,0.171139,0.14457,0.14457,0.123834,0.123834,0.000720288,0.00181349,0.00181349,0.00257046,0.00257046,0.0281409,0.0536166,0.0536166,0.0735958,0.0735958,0.0484246,0.0818851,0.0818851,0.1084,0.1084,0.0484246,0.00360144,0.00906744,0.0128523
373,0.171141,0.144528,0.144528,0.123769,0.123769,0.000712052,0.00179173,0.00179173,0.00253892,0.00253892,0.0281474,0.05368,0.05368,0.0736921,0.0736921,0.0484999,0.0820737,0.0820737,0.108667,0.108667,0.0484999,0.00356026,0.00895867,0.0126946
