t,pSv,pSh,pSr,pIv,pIh,pIr,pRv,pRh,pRr
51,0.98439,0.98469,0.985,0.0065482,0.00642135,0.00629195,0.000188792,0.0088873,0.4180392
52,0.983085,0.98341,0.983745,0.00708495,0.00694785,0.006808,0.000204816,0.0096416,0.453516
53,0.981675,0.982025,0.98239,0.00766375,0.0075156,0.00736445,0.00022215,0.0104575,0.491892
54,0.98015,0.980535,0.980925,0.00828745,0.0081274,0.0079641,0.000240896,0.01133995,0.5333976
55,0.978505,0.97892,0.979345,0.00895915,0.00878635,0.00861005,0.000261163,0.01229395,0.5782704
56,0.97673,0.97718,0.977635,0.0096821,0.0094956,0.0093053,0.000283066,0.01332505,0.6267696
57,0.974815,0.9753,0.975795,0.01045965,0.01025845,0.01005315,0.000306729,0.01443905,0.6791712
58,0.972755,0.97328,0.973815,0.0112953,0.0110784,0.010857,0.000332286,0.0156422,0.735768
59,0.970535,0.9711,0.97168,0.0121927,0.0119589,0.01172035,0.000359876,0.0169411,0.796872
60,0.96814,0.968755,0.96938,0.0131555,0.0129037,0.01264675,0.000389648,0.0183428,0.862812
61,0.96557,0.96623,0.966905,0.01418755,0.0139165,0.0136399,0.000421759,0.01985465,0.9339384
62,0.9628,0.963515,0.96424,0.0152926,0.0150011,0.01470355,0.000456376,0.02148455,1.0106184
63,0.95983,0.9606,0.961385,0.01647465,0.0161613,0.0158414,0.000493673,0.02324075,1.093248
64,0.95664,0.957465,0.958315,0.01773745,0.0174009,0.0170573,0.000533835,0.02513195,1.1822304
65,0.953215,0.95411,0.95502,0.01908485,0.01872365,0.01835495,0.000577056,0.0271672,1.2779976
66,0.94955,0.95051,0.95149,0.0205205,0.02013325,0.01973785,0.000623535,0.0293561,1.3809984
67,0.945625,0.94666,0.947715,0.02204795,0.02163315,0.0212096,0.000673484,0.0317085,1.4917008
68,0.94143,0.94254,0.943675,0.02367055,0.02322665,0.0227734,0.00072712,0.03423465,1.6105872
69,0.936945,0.93814,0.939355,0.02539115,0.0249167,0.02443215,0.000784666,0.0369452,1.7381616
70,0.932165,0.933445,0.93475,0.02721245,0.0267059,0.0261885,0.000846353,0.039851,1.8749352
71,0.927065,0.92844,0.92984,0.02913655,0.02859635,0.0280446,0.000912418,0.04296325,2.0214384
72,0.92418,0.92536,0.92681,0.0287436,0.02844455,0.027907,0.000980748,0.0461935,2.1735288
73,0.921835,0.92277,0.924255,0.02791865,0.02787935,0.0273646,0.001046833,0.04934885,2.3221608
74,0.91955,0.92025,0.92177,0.02713215,0.02731835,0.02682525,0.001110792,0.05243,2.467368
75,0.91733,0.9178,0.919355,0.02638065,0.02676195,0.02628935,0.001172698,0.0554375,2.60916
76,0.91517,0.915415,0.917,0.025661,0.02621055,0.0257574,0.001232656,0.058372,2.747568
77,0.913075,0.9131,0.914715,0.02497055,0.02566445,0.0252297,0.00129074,0.061235,2.882664
78,0.911035,0.91085,0.912495,0.02430685,0.02512405,0.02470675,0.001347021,0.0640265,3.014424
79,0.909055,0.90866,0.910335,0.0236678,0.0245896,0.0241888,0.001401563,0.066748,3.14292
80,0.907135,0.90654,0.908235,0.0230515,0.0240614,0.02367625,0.001454438,0.0694,3.2682
