t,Sv0,Sv1,Sv2,Sv3,Sh0,Sh1,Sh2,Sh3,Sr0,Sr1,Sr2,Sr3,Sr4,Sr5,Sr6,Sr7,Sr8,Sr9,Sr10,Sr11,Sr12,Sr13,Sr14,Sr15,Sr16,Sr17,Sr18,Sr19,Sr20,Sr21,Sr22,Sr23,Sr24,Sr25,Sr26,Sr27,Sr28,Sr29,Sr30,Sr31,Sr32,Sr33,Sr34,Sr35,Sr36,Sr37,Sr38,Sr39,Sr40,Sr41,Iv0,Iv1,Iv2,Iv3,Ih0,Ih1,Ih2,Ih3,Ir0,Ir1,Ir2,Ir3,Ir4,Ir5,Ir6,Ir7,Ir8,Ir9,Ir10,Ir11,Ir12,Ir13,Ir14,Ir15,Ir16,Ir17,Ir18,Ir19,Ir20,Ir21,Ir22,Ir23,Ir24,Ir25,Ir26,Ir27,Ir28,Ir29,Ir30,Ir31,Ir32,Ir33,Ir34,Ir35,Ir36,Ir37,Ir38,Ir39,Ir40,Ir41,Rv0,Rv1,Rv2,Rv3,Rh0,Rh1,Rh2,Rh3,Rr0,Rr1,Rr2,Rr3,Rr4,Rr5,Rr6,Rr7,Rr8,Rr9,Rr10,Rr11,Rr12,Rr13,Rr14,Rr15,Rr16,Rr17,Rr18,Rr19,Rr20,Rr21,Rr22,Rr23,Rr24,Rr25,Rr26,Rr27,Rr28,Rr29,Rr30,Rr31,Rr32,Rr33,Rr34,Rr35,Rr36,Rr37,Rr38,Rr39,Rr40,Rr41,cumIv0,cumIv1,cumIv2,cumIv3,cumIh0,cumIh1,cumIh2,cumIh3,cumIr0,cumIr1,cumIr2,cumIr3,cumIr4,cumIr5,cumIr6,cumIr7,cumIr8,cumIr9,cumIr10,cumIr11,cumIr12,cumIr13,cumIr14,cumIr15,cumIr16,cumIr17,cumIr18,cumIr19,cumIr20,cumIr21,cumIr22,cumIr23,cumIr24,cumIr25,cumIr26,cumIr27,cumIr28,cumIr29,cumIr30,cumIr31,cumIr32,cumIr33,cumIr34,cumIr35,cumIr36,cumIr37,cumIr38,cumIr39,cumIr40,cumIr41
310,0.0149291,0.0149291,0.0149291,0.0149291,0.00857284,0.00857284,0.00857284,0.00857284,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,0.00725909,3.23E-05,3.23E-05,3.23E-05,3.23E-05,7.64E-05,7.64E-05,7.64E-05,7.64E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,8.18E-05,0.00503861,0.00503861,0.00503861,0.00503861,0.0113508,0.0113508,0.0113508,0.0113508,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.0126591,0.00733568,0.00733568,0.00733568,0.00733568,0.0154727,0.0154727,0.0154727,0.0154727,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003,0.0172003
311,0.0149402,0.0149402,0.0149402,0.0149402,0.00859746,0.00859746,0.00859746,0.00859746,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,0.00728676,3.12E-05,3.12E-05,3.12E-05,3.12E-05,7.41E-05,7.41E-05,7.41E-05,7.41E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,0.00502853,0.00502853,0.00502853,0.00502853,0.0113285,0.0113285,0.0113285,0.0113285,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.0126338,0.00733834,0.00733834,0.00733834,0.00733834,0.0154791,0.0154791,0.0154791,0.0154791,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072,0.0172072
312,0.0149514,0.0149514,0.0149514,0.0149514,0.0086222,0.0086222,0.0086222,0.0086222,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,0.00731454,3.02E-05,3.02E-05,3.02E-05,3.02E-05,7.18E-05,7.18E-05,7.18E-05,7.18E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,7.71E-05,0.00501836,0.00501836,0.00501836,0.00501836,0.011306,0.011306,0.011306,0.011306,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.0126084,0.00734092,0.00734092,0.00734092,0.00734092,0.0154854,0.0154854,0.0154854,0.0154854,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214,0.017214
313,0.0149626,0.0149626,0.0149626,0.0149626,0.00864703,0.00864703,0.00864703,0.00864703,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,0.00734242,2.93E-05,2.93E-05,2.93E-05,2.93E-05,6.97E-05,6.97E-05,6.97E-05,6.97E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,7.48E-05,0.00500809,0.00500809,0.00500809,0.00500809,0.0112833,0.0112833,0.0112833,0.0112833,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.0125827,0.00734343,0.00734343,0.00734343,0.00734343,0.0154915,0.0154915,0.0154915,0.0154915,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207,0.0172207
314,0.0149739,0.0149739,0.0149739,0.0149739,0.00867196,0.00867196,0.00867196,0.00867196,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,0.0073704,2.84E-05,2.84E-05,2.84E-05,2.84E-05,6.76E-05,6.76E-05,6.76E-05,6.76E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05,0.00499775,0.00499775,0.00499775,0.00499775,0.0112604,0.0112604,0.0112604,0.0112604,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.0125569,0.00734586,0.00734586,0.00734586,0.00734586,0.0154974,0.0154974,0.0154974,0.0154974,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271,0.0172271
315,0.0149852,0.0149852,0.0149852,0.0149852,0.00869699,0.00869699,0.00869699,0.00869699,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,0.00739847,2.75E-05,2.75E-05,2.75E-05,2.75E-05,6.56E-05,6.56E-05,6.56E-05,6.56E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,0.00498733,0.00498733,0.00498733,0.00498733,0.0112374,0.0112374,0.0112374,0.0112374,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.0125309,0.00734823,0.00734823,0.00734823,0.00734823,0.0155032,0.0155032,0.0155032,0.0155032,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334,0.0172334
316,0.0149966,0.0149966,0.0149966,0.0149966,0.0087221,0.0087221,0.0087221,0.0087221,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,0.00742662,2.66E-05,2.66E-05,2.66E-05,2.66E-05,6.37E-05,6.37E-05,6.37E-05,6.37E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,6.86E-05,0.00497683,0.00497683,0.00497683,0.00497683,0.0112142,0.0112142,0.0112142,0.0112142,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.0125047,0.00735054,0.00735054,0.00735054,0.00735054,0.0155089,0.0155089,0.0155089,0.0155089,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396,0.0172396
317,0.0150079,0.0150079,0.0150079,0.0150079,0.00874728,0.00874728,0.00874728,0.00874728,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,0.00745485,2.58E-05,2.58E-05,2.58E-05,2.58E-05,6.19E-05,6.19E-05,6.19E-05,6.19E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,6.67E-05,0.00496627,0.00496627,0.00496627,0.00496627,0.0111908,0.0111908,0.0111908,0.0111908,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.0124784,0.00735278,0.00735278,0.00735278,0.00735278,0.0155144,0.0155144,0.0155144,0.0155144,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456,0.0172456
318,0.0150193,0.0150193,0.0150193,0.0150193,0.00877254,0.00877254,0.00877254,0.00877254,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,0.00748315,2.50E-05,2.50E-05,2.50E-05,2.50E-05,6.02E-05,6.02E-05,6.02E-05,6.02E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,6.49E-05,0.00495564,0.00495564,0.00495564,0.00495564,0.0111673,0.0111673,0.0111673,0.0111673,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.0124519,0.00735496,0.00735496,0.00735496,0.00735496,0.0155198,0.0155198,0.0155198,0.0155198,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514,0.0172514
319,0.0150308,0.0150308,0.0150308,0.0150308,0.00879787,0.00879787,0.00879787,0.00879787,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,0.00751152,2.43E-05,2.43E-05,2.43E-05,2.43E-05,5.85E-05,5.85E-05,5.85E-05,5.85E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,0.00494495,0.00494495,0.00494495,0.00494495,0.0111437,0.0111437,0.0111437,0.0111437,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.0124253,0.00735708,0.00735708,0.00735708,0.00735708,0.015525,0.015525,0.015525,0.015525,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571,0.0172571
